name,latitude,longitude,state,artcc,type,updated
TABHU,31.58747222222222,-110.41192500000001,ARIZONA,ZAB,RNAV,07/19/2011
TACOH,34.94223888888889,-106.39091388888889,NEW MEXICO,ZAB,RNAV,11/25/2012
TACOZ,33.98923611111111,-105.24491111111111,NEW MEXICO,ZAB,RNAV,11/19/2012
TACUB,32.43848333333333,-111.31974166666666,ARIZONA,ZAB,RP,AVQ*NDB*274.81
TACYU,32.224805555555555,-110.96045277777777,ARIZONA,ZAB,RNAV,12/30/2005
TAFOY,35.337497222222225,-105.57563611111111,NEW MEXICO,ZAB,RP,FTI*VORTAC*215.48
TAGGS,33.419980555555554,-111.17379444444445,ARIZONA,ZAB,RP,PXR*VORTAC*078.90/40.00
TAGOC,33.845197222222225,-112.03463611111111,ARIZONA,ZAB,RNAV,01/14/2005
TALEN,32.76571666666667,-104.76507777777778,NEW MEXICO,ZAB,MR,CME*VORTAC*180.00/35.00
TALLR,35.0394,-105.49854166666667,NEW MEXICO,ZAB,RNAV,10/24/2013
TAMEY,35.983072222222226,-105.48075,NEW MEXICO,ZAB,RNAV,03/21/2014
TANER,35.868269444444444,-107.42849166666667,NEW MEXICO,ZAB,RP,ABQ*VORTAC*315.90/57.79
TANKZ,33.79671666666666,-113.07180555555556,ARIZONA,ZAB,MR,LUF*TACAN*281.32/37.95
TAPDE,34.997141666666664,-108.36439999999999,NEW MEXICO,ZAB,RP,ZUN*VORTAC*073.01/39.00
TAPGE,30.88297777777778,-102.868625,TEXAS,ZAB,RNAV,07/14/2009
TATUY,33.26139444444444,-112.53417777777777,ARIZONA,ZAB,RNAV,08/11/2006
TAWNE,35.11847222222222,-111.37134999999999,ARIZONA,ZAB,RP,FLG*VOR/DME*082.50/15.00
TBOON,36.09343888888889,-100.95970555555556,TEXAS,ZAB,RNAV,07/08/2008
TDOWN,31.789530555555558,-106.10930833333333,TEXAS,ZAB,RNAV,12/19/2011
TEAJA,34.921258333333334,-106.46039444444445,NEW MEXICO,ZAB,RNAV,06/06/2017
TECZA,34.946524999999994,-106.72185277777778,NEW MEXICO,ZAB,RP,ABQ*VORTAC*128.34
TEDDI,33.67188611111111,-111.311375,ARIZONA,ZAB,RP,PXR*VORTAC*054.40/36.00
TEEES,32.270630555555556,-108.25846388888888,NEW MEXICO,ZAB,RNAV,08/14/2015
TEENR,35.06625833333333,-106.57745833333333,NEW MEXICO,ZAB,RNAV,08/09/2012
TEICH,33.401894444444444,-112.50095833333333,ARIZONA,ZAB,RNAV,10/28/2011
TEKUY,33.42881111111111,-111.95772777777778,ARIZONA,ZAB,RNAV,01/13/2009
TELGE,32.677388888888885,-110.98303888888888,ARIZONA,ZAB,RP,PXR*VORTAC*120.00/67.27
TELIE,31.950516666666665,-106.19150277777779,TEXAS,ZAB,RNAV,06/27/2011
TELKE,32.01594444444444,-108.76189722222222,NEW MEXICO,ZAB,RNAV,02/14/2014
TELOY,36.40305,-105.93720555555556,NEW MEXICO,ZAB,RP,TAS*VORTAC*173.92/12.42
TELRE,31.462055555555555,-104.5356861111111,TEXAS,ZAB,RNAV,12/06/2011
TELVE,35.412638888888885,-101.75707222222222,TEXAS,ZAB,RNAV,05/13/2015
TESLE,33.42845277777778,-112.42538888888889,ARIZONA,ZAB,RP,AHA*LD*258.03/21.47
TEXAZ,35.252925,-101.94658611111112,TEXAS,ZAB,RNAV,05/13/2015
TEYYI,33.430594444444445,-111.74122777777778,ARIZONA,ZAB,RNAV,01/13/2009
TGOLD,33.12361111111111,-112.72055555555556,ARIZONA,ZAB,RNAV,10/06/2014
THOMM,34.05209722222222,-111.72846111111112,ARIZONA,ZAB,RP,PXR*VORTAC*006.00/39.00
TIBQU,32.398113888888886,-104.18790833333334,NEW MEXICO,ZAB,RNAV,06/27/2013
TIFME,30.58033888888889,-103.58775833333333,TEXAS,ZAB,RNAV,12/26/2017
TIMGE,32.929544444444446,-104.55824444444444,NEW MEXICO,ZAB,RNAV,08/22/2017
TINIZ,34.49413055555556,-110.42748611111112,ARIZONA,ZAB,RNAV,03/16/2009
TIRON,33.61414722222222,-112.91404166666668,ARIZONA,ZAB,MR,LUF*TACAN*266.86/27.15
TISKE,35.51233333333333,-106.05914444444444,NEW MEXICO,ZAB,RNAV,10/31/2016
TITFE,30.222927777777777,-103.84891666666667,TEXAS,ZAB,RNAV,12/03/2010
TIXIE,32.01431111111111,-111.06764722222222,ARIZONA,ZAB,RNAV,11/19/2010
TKILA,35.19233611111111,-106.8103611111111,NEW MEXICO,ZAB,RNAV,03/06/2014
TLMAN,33.45929166666667,-112.25245833333334,ARIZONA,ZAB,RNAV,12/13/2010
TMACK,33.31911388888889,-108.04576944444445,NEW MEXICO,ZAB,RP,TCS*VORTAC*260.48/38.54
TNTOE,34.95433055555556,-106.55215277777778,NEW MEXICO,ZAB,RNAV,11/25/2012
TODRE,33.440275,-111.7411861111111,ARIZONA,ZAB,RP,CWJ*LD*E CRS/14.66
TOGIE,33.14006944444444,-106.17754722222223,NEW MEXICO,ZAB,MR,HMN*TACAN*338.30/17.00
TOHQU,35.06664722222222,-111.74756388888889,ARIZONA,ZAB,RNAV,10/16/2017
TOLDE,34.220061111111114,-103.17793611111112,NEW MEXICO,ZAB,MR,CVS*TACAN*136.20/12.00
TOMBS,31.76621111111111,-110.21534722222222,ARIZONA,ZAB,RP,DAO*NDB*018.37
TONUC,31.668844444444446,-109.827675,ARIZONA,ZAB,RNAV,06/01/2012
TOPAN,33.36525833333334,-104.44210833333334,NEW MEXICO,ZAB,RP,CME*VORTAC*067.48/9.16
TOPEE,34.051874999999995,-111.18528333333333,ARIZONA,ZAB,RNAV,04/15/2003
TORAE,31.9776,-110.66326388888889,ARIZONA,ZAB,RNAV,11/19/2010
TORQE,33.19448611111111,-107.17296666666667,NEW MEXICO,ZAB,RNAV,08/23/2015
TORRI,32.98459722222222,-106.05434722222222,NEW MEXICO,ZAB,RP,BWS*VOR/DME*340.00/10.00
