name,latitude,longitude,state,artcc,type,updated
TABEE,64.69146388888889,-147.12444722222222,ALASKA,ZAN,MR,EIL*TACAN*/2.40
TACKT,56.971383333333335,-135.57515833333332,ALASKA,ZAN,WP,06/13/2017
TADYU,61.53832222222222,-150.02183333333335,ALASKA,ZAN,RNAV,08/01/2006
TAGER,61.67294166666667,-150.46040555555555,ALASKA,ZAN,RP,TKA*VOR/DME*176.09/38.97
TAHHI,59.637794444444445,-139.9142527777778,ALASKA,ZAN,RNAV,03/14/2011
TAJAN,61.71993055555556,-166.21734444444445,ALASKA,ZAN,MR,CZF*DME*/6.00
TAKME,69.00337777777777,-165.49450833333333,ALASKA,ZAN,MW,09/24/2014
TAKOC,62.09416388888889,-145.96786944444446,ALASKA,ZAN,RP,GKN*VOR/DME*233.49/15.10
TAKUU,58.495,-133.93166666666664,ALASKA,ZAN,WP,02/27/1998
TALYN,64.811925,-165.39242777777778,ALASKA,ZAN,RP,OME*VOR/DME*338.71/20.00
TAMMO,54.765277777777776,-179.99721666666665,ALASKA,ZAN,RP,02/24/1993
TANIE,57.96973611111111,-158.21280555555555,ALASKA,ZAN,RP,AKN*VORTAC*210.11/64.76
TANPE,67.00459444444445,-146.38614444444443,ALASKA,ZAN,RNAV,03/03/2008
TASAE,59.406327777777776,-155.12178333333335,ALASKA,ZAN,RNAV,05/26/2006
TATBE,59.306441666666665,-139.26525555555557,ALASKA,ZAN,RP,YAK*VOR/DME*/17.00
TATTA,65.46307222222222,-148.1153861111111,ALASKA,ZAN,RP,FAI*VORTAC*335.29/40.00
TAUTS,58.32849166666667,-134.48331944444445,ALASKA,ZAN,RNAV,10/27/2014
TAVPE,66.72453055555556,-150.78665833333332,ALASKA,ZAN,RNAV,07/21/2008
TAVUE,61.04287222222222,-149.8183,ALASKA,ZAN,RNAV,11/18/2014
TAWMO,57.18858611111111,-133.78908333333334,ALASKA,ZAN,RNAV,07/12/2004
TAYKU,63.10573333333333,-163.42715555555554,ALASKA,ZAN,RNAV,12/01/2003
TAYTA,71.56166666666667,-141.0,ALASKA,ZAN,WP,06/19/1996
TAYUC,70.11005555555555,-147.63329166666668,ALASKA,ZAN,RNAV,08/06/2008
TAZLI,61.228475,-148.85838611111112,ALASKA,ZAN,RP,BGQ*VORTAC*103.19/38.00
TBEAR,63.46333611111111,-144.09727777777778,ALASKA,ZAN,RNAV,02/13/2018
TBONE,60.72841944444445,-151.05505833333333,ALASKA,ZAN,RP,EDF*TACAN*212.43/49.15
TDGNY,54.61295833333333,-131.14243333333332,ALASKA,ZAN,CN,06/17/2002
TDNBG,54.643658333333335,-130.9722111111111,ALASKA,ZAN,CN,06/17/2002
TDNSS,54.51831388888889,-131.65750277777778,ALASKA,ZAN,CN,06/17/2002
TEBCY,62.601977777777776,-164.28734444444444,ALASKA,ZAN,RNAV,05/03/2007
TECLY,56.145833333333336,-132.92499999999998,ALASKA,ZAN,RNAV,07/12/2004
TECOD,59.65859722222222,-146.26234722222222,ALASKA,ZAN,RNAV,12/13/2011
TECON,55.00998888888889,-162.20396388888886,ALASKA,ZAN,RP,CDB*VORTAC*114.00/24.99
TECWA,70.60364722222222,-160.2427861111111,ALASKA,ZAN,RNAV,09/25/2009
TEGDE,67.37921666666666,-151.14313888888887,ALASKA,ZAN,RP,EAV*NDB*357.62
TEGNE,63.61669722222222,-144.404725,ALASKA,ZAN,MW,12/09/2013
TEKME,71.28487777777778,-156.71803888888888,ALASKA,ZAN,RP,BRW*VOR/DME*044.00/1.52
TEKOC,60.40356388888889,-162.15318611111113,ALASKA,ZAN,RNAV,04/02/2008
TEKUC,66.89706944444445,-156.1621,ALASKA,ZAN,RNAV,09/21/2007
TEMPS,61.15333333333333,-150.30833333333334,ALASKA,ZAN,WP,10/02/1995
TERNN,58.34814166666667,-134.52741666666668,ALASKA,ZAN,RNAV,05/18/2016
TESMA,68.44500000000001,-168.97333333333333,,ZAN,RNAV,12/05/2016
TESPE,54.933025,-164.78218055555556,ALASKA,ZAN,RP,CDB*VORTAC*/72.07
TESUE,57.75821111111111,-152.43096944444443,ALASKA,ZAN,RP,ODK*VOR/DME*236.98/3.07
TEYUT,62.134175,-163.62916111111113,ALASKA,ZAN,RNAV,03/19/2012
THEPS,64.12287222222221,-160.98437222222222,ALASKA,ZAN,RP,UNK*VOR/DME*315.45/16.00
TIBOY,63.01643888888889,-141.0,ALASKA,ZAN,RP,ORT*VORTAC*056.12/25.33
TICCU,52.01614444444444,-176.10220555555554,ALASKA,ZAN,RP,ADK*NDB/DME*060.44/22.96
TICUR,62.867025,-160.31931944444443,ALASKA,ZAN,RNAV,07/29/2008
TIEKL,61.39376388888889,-145.05849722222223,ALASKA,ZAN,RNAV,11/01/2012
TIGUE,63.20639444444445,-155.61570555555554,ALASKA,ZAN,RNAV,10/26/2011
TIKGU,58.77961944444444,-157.47530833333334,ALASKA,ZAN,RNAV,03/14/2016
TIKOW,55.725,-132.70833333333331,ALASKA,ZAN,RNAV,07/12/2004
TILOY,62.04340555555555,-161.2447222222222,ALASKA,ZAN,RNAV,04/06/2004
TINOC,64.46878055555555,-163.08333611111112,ALASKA,ZAN,RNAV,10/13/2005
TINUC,64.65845555555556,-155.6663027777778,ALASKA,ZAN,RNAV,04/12/2007
TIPEH,57.142041666666664,-135.53320000000002,ALASKA,ZAN,RNAV,02/17/2006
TIQUL,70.23221666666667,-146.56107500000002,ALASKA,ZAN,RNAV,10/23/2008
TIRNE,65.2915,-146.42683333333332,ALASKA,ZAN,RP,FAI*VORTAC*032.01/50.00
TITOC,66.16599166666667,-166.50089444444444,ALASKA,ZAN,RNAV,06/27/2005
TITUY,59.53337222222222,-157.4558722222222,ALASKA,ZAN,RNAV,10/05/2007
TIVSE,64.36699166666666,-165.4290861111111,ALASKA,ZAN,RNAV,08/09/2017
TMSON,61.04349444444444,-145.13073055555557,ALASKA,ZAN,RNAV,11/01/2012
TNAKY,58.057230555555556,-135.05843333333334,ALASKA,ZAN,RNAV,08/23/2016
TOBOY,59.089733333333335,-135.35704166666667,ALASKA,ZAN,RNAV,07/03/2013
TOCOT,64.29913333333333,-163.02800000000002,ALASKA,ZAN,RNAV,10/13/2005
TODCO,67.01275,-146.3465638888889,ALASKA,ZAN,RNAV,03/03/2008
TODME,61.893166666666666,-150.13183333333333,ALASKA,ZAN,CN,06/25/2003
TOFYE,61.63483333333333,-150.92399999999998,ALASKA,ZAN,CN,06/25/2003
TOGGU,64.52133611111111,-165.513575,ALASKA,ZAN,RP,OME*LD*278.74/1.04
