name,latitude,longitude,state,artcc,type,updated
TAAIL,42.851216666666666,-88.27982777777778,WISCONSIN,ZAU,RNAV,04/01/2014
TAAYZ,42.72553611111111,-87.8213611111111,WISCONSIN,ZAU,RNAV,05/06/2013
TABGE,42.270383333333335,-86.761825,MICHIGAN,ZAU,RNAV,06/29/2011
TABMY,43.43964166666667,-88.82659722222222,WISCONSIN,ZAU,RNAV,05/24/2016
TABTE,42.58119722222222,-87.97408888888889,WISCONSIN,ZAU,RNAV,06/22/2009
TACON,43.501016666666665,-90.66197500000001,WISCONSIN,ZAU,RNAV,01/15/2004
TACTT,41.85022777777778,-87.43799166666668,ILLINOIS,ZAU,RNAV,07/18/2013
TAFFS,41.98385277777778,-87.78415555555556,ILLINOIS,ZAU,RP,OBK*VOR/DME*154.24
TAFME,41.094997222222226,-85.90458055555555,INDIANA,ZAU,RNAV,08/07/2008
TAGGU,40.158830555555554,-87.62506944444443,ILLINOIS,ZAU,RNAV,06/27/2007
TAGPE,41.940099999999994,-87.37240555555555,ILLINOIS,ZAU,RNAV,09/26/2016
TAGVE,41.91005555555555,-87.92809722222222,ILLINOIS,ZAU,RP,DPA*VOR/DME*084.29
TALGE,42.61219722222222,-87.88898333333334,WISCONSIN,ZAU,RNAV,06/22/2009
TALOR,42.5906,-87.62259722222221,WISCONSIN,ZAU,RP,BAE*VOR/DME*135.00
TALSE,41.96206666666667,-89.10171666666666,ILLINOIS,ZAU,RNAV,07/28/2009
TAMPE,41.98835833333334,-86.7633388888889,MICHIGAN,ZAU,RNAV,06/29/2011
TAMUW,42.93691111111111,-88.84118055555555,WISCONSIN,ZAU,RNAV,05/24/2016
TANCI,42.77691111111111,-90.52613055555555,WISCONSIN,ZAU,RNAV,06/28/2009
TANOC,42.255575,-89.06313055555555,ILLINOIS,ZAU,RNAV,07/28/2009
TARPE,40.24194722222222,-88.44528055555556,ILLINOIS,ZAU,RP,RBS*VOR/DME*210.40/24.10
TASUE,41.600611111111114,-87.98910277777777,ILLINOIS,ZAU,RNAV,09/25/2002
TATNE,41.44403888888888,-90.22063888888889,ILLINOIS,ZAU,RNAV,01/05/2012
TAVNE,42.68601111111111,-89.15599722222223,WISCONSIN,ZAU,RP,JVL*VOR/DME*340.70/8.00
TAVOC,42.540530555555556,-89.1351138888889,WISCONSIN,ZAU,RNAV,04/05/2010
TAYOD,42.43544166666666,-90.74468333333333,IOWA,ZAU,RP,DBQ*VORTAC*318.18/2.58
TAYOR,42.758855555555556,-89.24211111111111,WISCONSIN,ZAU,RNAV,04/05/2010
TAZCE,41.39530277777778,-85.027325,INDIANA,ZOB,RP,FWA*VORTAC*022.21/26.00
TEARY,43.87983055555556,-89.57287222222222,WISCONSIN,ZAU,MR,VOK*TACAN*097.00/30.00
TECTU,42.88251944444445,-85.59621388888888,MICHIGAN,ZAU,RNAV,05/12/2009
TECYO,43.570369444444445,-89.76013055555556,WISCONSIN,ZAU,RNAV,06/14/2013
TEDDY,42.41965555555555,-88.64627777777778,ILLINOIS,ZAU,RP,RFD*VOR/DME*063.50
TEDOY,40.44316944444444,-88.770875,ILLINOIS,ZAU,RNAV,12/22/2008
TEEOO,42.85767222222222,-90.71717777777778,WISCONSIN,ZAU,RNAV,08/19/2015
TEGGU,42.688766666666666,-88.95741944444445,WISCONSIN,ZAU,RNAV,04/05/2010
TEHRA,42.66907777777777,-88.29176111111111,WISCONSIN,ZAU,RNAV,01/02/2003
TEJEY,43.675911111111105,-88.48630277777778,WISCONSIN,ZAU,RNAV,05/18/2016
TELEY,41.02531388888889,-85.56799722222222,INDIANA,ZAU,RP,MZZ*VOR/DME*012.00
TESTY,40.45022777777778,-85.71249722222223,INDIANA,ZAU,RP,MZZ*VOR/DME*213.50/3.00
TEVEE,42.884005555555554,-90.971075,WISCONSIN,ZAU,RNAV,09/16/2002
