name,latitude,longitude,state,artcc,type,updated
TAALE,42.626263888888886,-70.77187222222223,MASSACHUSETTS,ZBW,RNAV,07/13/2012
TAAPS,40.099247222222225,-73.14766111111112,OFFSHORE ATLANTIC,ZBW,RNAV,03/23/2018
TAATE,43.681225,-69.96477777777778,MAINE,ZBW,RNAV,03/13/2012
TABME,42.97973888888889,-70.92179444444444,NEW HAMPSHIRE,ZBW,RNAV,01/16/2013
TABOC,40.82597500000001,-72.65034722222222,NEW YORK,ZBW,RP,FOK*TACAN*243.01/1.10
TABUU,44.35598888888889,-68.42336666666667,MAINE,ZBW,RNAV,12/27/2010
TABVE,43.25038333333333,-70.81782222222222,MAINE,ZBW,RNAV,01/16/2013
TADBE,42.930699999999995,-71.30021666666666,NEW HAMPSHIRE,ZBW,RNAV,01/16/2013
TADCO,43.091236111111115,-73.49742222222223,NEW YORK,ZBW,RNAV,12/13/2004
TAFFY,47.373380555555556,-67.3039,,ZBW,RNAV,09/10/2015
TAITS,42.657333333333334,-70.99461388888889,MASSACHUSETTS,ZBW,RP,BOS*VOR/DME*015.29
TALCO,42.06276944444444,-74.10773611111111,NEW YORK,ZBW,RP,DNY*VOR/DME*111.07
TALNO,45.00055555555556,-74.33111111111111,,ZBW,RNAV,09/20/2014
TANUE,43.106994444444446,-76.16251944444446,NEW YORK,ZBW,RP,MRZ*LD*280.42/3.23
TAPSE,43.07126388888889,-71.82747777777777,NEW HAMPSHIRE,ZBW,RP,CON*VOR/DME*246.26/14.21
TAPVO,44.87583333333333,-74.9705,NEW YORK,ZBW,WP,10/03/2011
TAQYU,44.77723611111111,-69.96815277777777,MAINE,ZBW,RNAV,03/10/2015
TAREE,44.00223888888889,-76.30769722222222,NEW YORK,ZBW,RNAV,05/24/2011
TARSE,41.61795,-70.70033055555555,MASSACHUSETTS,ZBW,RNAV,07/19/2012
TASHA,42.64943611111111,-75.52044166666667,NEW YORK,ZBW,WP,11/18/1987
TAYUN,42.591519444444444,-71.82296666666666,MASSACHUSETTS,ZBW,RNAV,07/25/2005
TAYVO,43.20838611111111,-73.68993333333334,NEW YORK,ZBW,RNAV,02/03/2009
TAZZY,40.77453611111111,-72.71336111111111,NEW YORK,ZBW,RNAV,04/17/2012
TEBOR,42.98858333333333,-75.73315833333334,NEW YORK,ZBW,RP,RKA*VOR/DME*336.28/38.19
TEBUC,43.27968055555556,-72.41469166666667,VERMONT,ZBW,RNAV,11/06/2009
TECOG,46.393391666666666,-67.81530277777777,MAINE,ZBW,RNAV,05/19/2009
TEDEE,42.47881666666667,-72.51548888888888,MASSACHUSETTS,ZBW,RP,BAF*VORTAC*039.11/21.00
TEETO,42.81309722222222,-71.70761388888889,NEW HAMPSHIRE,ZBW,RNAV,11/17/2014
TEGOC,43.97725555555556,-75.60270277777778,NEW YORK,ZBW,MW,02/13/2017
TEKKK,42.41273611111111,-71.0986361111111,MASSACHUSETTS,ZBW,RNAV,01/15/2013
TEKTE,44.133297222222225,-69.86932777777777,MAINE,ZBW,RNAV,04/24/2010
TELLE,42.37320555555556,-71.463425,MASSACHUSETTS,ZBW,RNAV,10/16/2006
TENEE,41.56173333333333,-72.77815,CONNECTICUT,ZBW,RNAV,02/03/2005
TERIA,42.60548611111111,-72.95935277777778,MASSACHUSETTS,ZBW,RNAV,09/23/2014
TESCO,42.675755555555554,-72.17394722222222,MASSACHUSETTS,ZBW,RNAV,06/13/2008
TETAE,42.77240555555556,-71.98056111111111,NEW HAMPSHIRE,ZBW,RNAV,06/18/2010
TEVME,41.751866666666665,-70.42025000000001,MASSACHUSETTS,ZBW,RP,FMH*TACAN*/7.00
TEWKS,42.58106388888889,-71.26691666666666,MASSACHUSETTS,ZBW,RNAV,09/06/2017
TEYRU,42.96721388888889,-72.26473333333334,NEW HAMPSHIRE,ZBW,RNAV,06/13/2008
THEEO,40.98908055555555,-73.64720000000001,CONNECTICUT,ZBW,RP,LGA*VOR/DME*051.22
THROP,40.10611111111111,-72.86694444444444,OFFSHORE ATLANTIC,ZBW,RNAV,03/23/2018
THUMB,41.52332222222222,-72.35883333333332,CONNECTICUT,ZBW,RP,HTO*VORTAC*010.00/36.29
TICBU,44.559066666666666,-69.20126666666667,MAINE,ZBW,RP,BGR*VORTAC*238.66/22.00
