name,latitude,longitude,state,artcc,type,updated
TAARA,39.400838888888885,-74.89283611111112,NEW JERSEY,ZDC,RP,VCN*VOR/DME*167.15/8.90
TABBE,39.38865,-78.92655833333333,WEST VIRGINIA,ZDC,RNAV,05/02/2013
TABDY,35.11842222222222,-77.70944444444444,NORTH CAROLINA,ZDC,RNAV,05/23/2011
TABER,37.04862222222222,-80.04879444444444,VIRGINIA,ZDC,RP,ROA*VOR/DME*180.63/17.70
TABUE,36.340894444444444,-76.06835833333334,NORTH CAROLINA,ZDC,MR,NTU*TACAN*193.00/29.00
TACKS,39.28944166666666,-75.8326861111111,MARYLAND,ZDC,RP,ENO*VORTAC*292.31
TACLO,36.32421666666667,-76.08092777777777,NORTH CAROLINA,ZDC,RNAV,03/30/2009
TACUV,36.40463888888889,-78.79360555555556,NORTH CAROLINA,ZDC,RNAV,12/02/2008
TAHSU,40.102647222222224,-74.82705,NEW JERSEY,ZDC,RNAV,12/30/2016
TAJKY,36.395177777777775,-79.59410277777778,NORTH CAROLINA,ZDC,RNAV,09/14/2009
TAJON,39.69526388888889,-77.97875555555555,MARYLAND,ZDC,RP,THS*VORTAC*192.16
TALOE,35.70874166666667,-77.26094722222223,NORTH CAROLINA,ZDC,RNAV,04/07/2014
TALOW,36.07423055555556,-75.54621666666667,NORTH CAROLINA,ZDC,RNAV,10/21/2011
TANBY,40.15033333333333,-75.09714166666666,PENNSYLVANIA,ZDC,MW,01/27/2009
TANGY,36.094261111111116,-77.51152222222223,NORTH CAROLINA,ZDC,RNAV,07/21/2011
TANJA,36.50244166666667,-77.62126388888888,NORTH CAROLINA,ZDC,RNAV,12/01/2015
TANTE,35.93445,-78.41406388888889,NORTH CAROLINA,ZDC,RP,RDU*VORTAC*087.24
TAPEE,38.30667222222222,-76.27063333333334,MARYLAND,ZDC,MW,08/18/2010
TAPPA,37.97018333333334,-76.84461666666667,VIRGINIA,ZDC,RP,HPW*VORTAC*024.51/40.55
TARHL,34.820194444444446,-76.805125,NORTH CAROLINA,ZDC,MR,NKT*TACAN*154.00/6.00
TASRE,38.93674444444444,-77.45981666666667,VIRGINIA,ZDC,RNAV,01/21/2003
TATTO,39.22189166666667,-76.71585555555556,MARYLAND,ZDC,RP,BAL*VORTAC*/3.97
TATVE,40.287219444444446,-75.00709722222223,PENNSYLVANIA,ZDC,RP,ARD*VOR/DME*304.00/5.00
TAVAE,36.59079166666667,-76.39031666666668,VIRGINIA,ZDC,RP,ECG*VOR/DME*339.56
TAVIE,35.71146111111111,-77.16761111111111,NORTH CAROLINA,ZDC,RNAV,02/03/2009
TAYFI,39.23728333333334,-75.22350833333334,DELAWARE,ZDC,MR,VCN*VOR/DME*223.60/21.60
TAYUK,38.53128888888889,-78.61972777777777,VIRGINIA,ZDC,RNAV,02/06/2012
TBART,38.24620277777778,-79.25855555555556,VIRGINIA,ZDC,RNAV,01/12/2015
TBOLT,35.115186111111115,-77.72191944444445,NORTH CAROLINA,ZDC,MR,GSB*TACAN*145.00/18.00
TEAKK,38.78908333333333,-79.02865,VIRGINIA,ZDC,RP,CSN*VORTAC*285.58/55.34
TEBEE,39.503880555555554,-75.32699722222222,NEW JERSEY,ZDC,RP,OOD*VORTAC*198.00/8.00
TEBUY,36.03926666666666,-75.78122499999999,NORTH CAROLINA,ZDC,RNAV,01/11/2018
TECHI,36.98287222222223,-76.11450277777777,VIRGINIA,ZDC,RNAV,07/14/2011
TECOV,38.351572222222224,-77.61079722222222,VIRGINIA,ZDC,RNAV,08/02/2004
TEDIE,38.9,-77.06833333333333,VIRGINIA,ZDC,RNAV,05/02/2010
TEDNE,37.55437222222222,-77.21150833333334,VIRGINIA,ZDC,RNAV,04/06/2017
TEDOC,39.366822222222225,-75.342225,NEW JERSEY,ZDC,RNAV,05/31/2011
TEEMS,37.690527777777774,-79.19773611111111,VIRGINIA,ZDC,RNAV,05/01/2015
TELAE,38.29428333333333,-76.42333055555557,MARYLAND,ZDC,MW,04/03/2008
TELEE,37.374611111111115,-77.15467777777778,VIRGINIA,ZDC,RP,RIC*VORTAC*143.00/11.01
TELNE,38.942030555555554,-75.763375,MARYLAND,ZDC,RNAV,04/23/2012
TELUC,34.97190555555556,-78.00686666666667,NORTH CAROLINA,ZDC,RNAV,05/23/2011
TEMLE,39.11069166666667,-75.44352777777779,DELAWARE,ZDC,MR,ENO*VORTAC*170.00/8.00
TEMVE,39.43058611111111,-74.59828611111111,NEW JERSEY,ZDC,RNAV,12/20/2012
TENPY,39.748269444444446,-75.74636111111111,DELAWARE,ZDC,RNAV,09/11/2009
TERKS,37.414144444444446,-76.46403611111111,VIRGINIA,ZDC,RP,HCM*VORTAC*106.85/12.00
TEROC,36.969858333333335,-78.6273111111111,VIRGINIA,ZDC,RNAV,11/23/2004
TERPZ,39.22241944444445,-77.13896944444446,MARYLAND,ZDC,RNAV,04/04/2016
TERUC,36.863033333333334,-76.44114166666667,VIRGINIA,ZDC,RNAV,05/03/2018
TESKE,39.48779722222222,-74.6482,NEW JERSEY,ZDC,RP,PVO*LD*NW CRS/2.85
TESTA,39.01799722222222,-74.91236388888889,NEW JERSEY,ZDC,RP,SIE*VORTAC*237.45/7.00
TESYU,34.88216944444444,-79.61159444444444,NORTH CAROLINA,ZDC,RP,SDZ*VORTAC*186.35/20.00
TEYOR,34.73758888888889,-77.41542222222223,NORTH CAROLINA,ZDC,MR,NCA*TACAN*042.00/2.20
TEZER,38.82143055555556,-77.63265277777776,VIRGINIA,ZDC,RNAV,02/05/2016
TGTHR,39.035669444444444,-77.23991388888889,MARYLAND,ZDC,RNAV,06/04/2012
THANE,38.87806111111111,-76.89729166666667,MARYLAND,ZDC,RNAV,03/13/2015
THHMP,37.49151944444444,-77.31909722222221,VIRGINIA,ZDC,RNAV,12/16/2014
THINA,37.32709722222223,-77.65031666666667,VIRGINIA,ZDC,RNAV,10/19/2015
THMAS,39.668813888888884,-74.57117777777778,NEW JERSEY,ZNY,RNAV,09/06/2013
THOLE,39.30127222222222,-76.67855277777778,MARYLAND,ZDC,RNAV,12/29/2015
THZMN,39.02218055555556,-77.86556944444443,VIRGINIA,ZDC,RNAV,05/02/2013
TIBIA,35.90620277777778,-78.60046944444444,NORTH CAROLINA,ZDC,RNAV,10/29/2013
TICON,38.67933333333333,-77.36183333333332,VIRGINIA,ZDC,RNAV,06/30/2015
TIGTE,35.34674444444445,-77.93092222222222,NORTH CAROLINA,ZDC,MR,GSB*TACAN*/2.10
TIICE,38.80379166666666,-77.55958055555556,VIRGINIA,ZDC,RNAV,06/01/2012
TIIME,35.83565277777778,-78.66754444444445,NORTH CAROLINA,ZDC,RNAV,07/30/2010
TIKEE,38.61843611111111,-78.24879722222222,VIRGINIA,ZDC,RNAV,09/22/2014
TIKTE,38.8551,-77.61361111111111,VIRGINIA,ZDC,RNAV,12/24/2013
TILFO,37.73155277777778,-80.52040555555556,WEST VIRGINIA,ZDC,RP,ROA*VOR/DME*321.42
TILTZ,35.45453333333334,-77.75931388888888,NORTH CAROLINA,ZDC,RP,ISO*VORTAC*301.99/11.06
TIMBE,39.22404166666667,-77.25975,MARYLAND,ZDC,RNAV,09/07/2005
TIRTL,37.67394722222222,-77.329225,VIRGINIA,ZDC,RNAV,06/11/2014
TIRZA,38.769325,-76.8517,MARYLAND,ZDC,RNAV,01/08/2015
TIVAE,37.24068888888889,-79.90584722222223,VIRGINIA,ZDC,RNAV,11/19/2012
TIVTE,38.825925000000005,-79.79280833333333,WEST VIRGINIA,ZDC,RNAV,11/03/2009
TIYDU,39.36703055555556,-75.19011666666667,NEW JERSEY,ZDC,RNAV,04/13/2006
TIYUS,38.92048333333333,-75.59339166666666,DELAWARE,ZDC,RP,ENO*VORTAC*200.00/19.00
TLUKS,39.56359444444444,-75.30269166666666,NEW JERSEY,ZDC,RNAV,04/06/2012
TMAAC,36.404016666666664,-78.265675,NORTH CAROLINA,ZDC,RNAV,01/29/2015
TOBME,40.021852777777774,-74.34260277777777,NEW JERSEY,ZNY,MR,CYN*VORTAC*028.50
TODSE,34.42455833333333,-77.79152222222223,NORTH CAROLINA,ZDC,RP,ILM*VORTAC*050.27/6.00
TOMAC,39.68414722222222,-78.13600555555556,WEST VIRGINIA,ZDC,RP,ESL*VOR/DME*061.00/48.26
TOMAH,34.78843055555556,-77.43674722222222,NORTH CAROLINA,ZDC,MW,12/16/2014
TOMMZ,35.40241666666667,-75.06382222222221,OFFSHORE ATLANTIC,ZDC,RP,ECG*VOR/DME*140.04/74.61
TOMVE,40.051430555555555,-74.33216388888889,NEW JERSEY,ZNY,MR,COL*VOR/DME*218.00/17.50
TONEO,37.549025,-77.48899166666666,VIRGINIA,ZDC,RNAV,06/11/2014
TONPE,38.02376666666667,-80.46069722222222,WEST VIRGINIA,ZDC,RNAV,07/22/2009
TOOJM,37.89693611111111,-77.27761111111111,VIRGINIA,ZDC,RNAV,10/16/2015
TOPRR,39.84698055555556,-73.53667222222222,OFFSHORE ATLANTIC,ZDC,RNAV,02/28/2017
TOPSY,34.41437777777777,-77.70319722222223,NORTH CAROLINA,ZDC,RNAV,07/08/2013
TORQD,34.799794444444444,-79.16545,NORTH CAROLINA,ZDC,RNAV,05/13/2016
TOSUY,35.12804166666667,-79.00300555555556,NORTH CAROLINA,ZDC,MW,02/08/2010
TOVIE,39.007752777777775,-74.79363055555555,NEW JERSEY,ZDC,RNAV,08/22/2017
TOYER,35.76151111111111,-78.77928333333334,NORTH CAROLINA,ZDC,RNAV,11/19/2012
TOYUB,40.04556111111111,-74.33454166666667,NEW JERSEY,ZNY,MR,NEL*TACAN*070.00/1.00
TRHIL,34.20628055555556,-77.98552777777778,NORTH CAROLINA,ZDC,RNAV,05/31/2006
TRING,39.03333333333333,-77.34766666666667,VIRGINIA,ZDC,RNAV,12/16/2014
TRIXY,39.13922222222222,-78.1211111111111,VIRGINIA,ZDC,RP,ESL*VOR/DME*103.00/40.84
TRKEY,37.47416388888889,-77.14256666666667,VIRGINIA,ZDC,RNAV,06/11/2014
TROTH,35.670227777777775,-77.37857777777778,NORTH CAROLINA,ZDC,RNAV,11/30/2015
TROTZ,39.11210277777778,-76.31289722222222,MARYLAND,ZDC,RNAV,10/19/2015
TRSSK,37.227336111111114,-77.83118055555555,VIRGINIA,ZDC,RNAV,12/16/2014
TRSTN,38.086925,-77.7733,VIRGINIA,ZDC,RNAV,12/16/2014
TRUIT,37.723083333333335,-77.45644722222222,VIRGINIA,ZDC,RNAV,06/11/2014
TRUKK,38.093047222222225,-76.80186111111111,VIRGINIA,ZDC,RNAV,10/20/2015
TRUPS,38.82101111111111,-77.70054444444445,VIRGINIA,ZDC,RNAV,05/01/2015
