name,latitude,longitude,state,artcc,type,updated
TABLE,41.252919444444444,-100.78116944444444,NEBRASKA,ZDV,RP,OBH*VORTAC*259.96/110.00
TACUD,39.96209166666667,-104.52427222222222,COLORADO,ZDV,RNAV,07/16/2008
TACUK,40.4909,-107.24375833333333,COLORADO,ZDV,RP,CHE*VOR/DME*108.00/3.30
TADUY,39.10353333333333,-108.73529722222223,COLORADO,ZDV,RNAV,07/05/2011
TAGKO,40.31464166666667,-104.7311,COLORADO,ZDV,RNAV,11/24/2012
TAHIB,37.05416111111111,-108.7955361111111,COLORADO,ZDV,RNAV,10/10/2014
TAIIL,39.63798611111111,-104.40050833333333,COLORADO,ZDV,RNAV,11/24/2012
TAILR,39.841594444444446,-104.83498055555555,COLORADO,ZDV,RP,FQF*VORTAC*301.59
TAKSE,39.04508611111111,-104.54071111111111,COLORADO,ZDV,WP,11/02/1998
TALJE,39.566677777777784,-107.49998055555555,COLORADO,ZDV,RNAV,07/25/2000
TANRE,37.33938055555556,-108.31406666666666,COLORADO,ZDV,RNAV,02/17/2006
TANZU,37.24306666666667,-109.512325,UTAH,ZDV,WP,11/02/1998
TARGS,44.38784444444445,-103.13517222222222,SOUTH DAKOTA,ZDV,MR,RCA*TACAN*343.50/15.00
TARIE,40.338188888888894,-104.62519166666667,COLORADO,ZDV,RNAV,03/16/2012
TATCO,43.889741666666666,-102.78847777777777,SOUTH DAKOTA,ZDV,RP,RAP*VORTAC*105.00/11.00
TATKE,37.049225,-104.73734166666667,COLORADO,ZDV,RP,CIM*VORTAC*357.95/34.05
TATTR,40.54580833333333,-102.00934166666667,NEBRASKA,ZDV,RP,HCT*VORTAC*265.67/50.00
TAULB,40.46297777777778,-107.16348611111111,COLORADO,ZDV,RNAV,11/17/2014
TAVRN,39.78148611111111,-105.27345555555556,COLORADO,ZDV,RNAV,11/24/2012
TAYLR,38.79338333333333,-106.73403333333333,COLORADO,ZDV,RP,HBU*VOR/DME*021.01/25.00
TAYOT,41.98156111111111,-103.88013055555555,NEBRASKA,ZDV,RNAV,11/29/2012
TEBIE,36.73883611111111,-108.33337777777777,NEW MEXICO,ZDV,RNAV,04/04/2005
TECOB,40.17473888888889,-102.24146944444445,COLORADO,ZDV,RNAV,02/21/2018
TEDUE,40.534908333333334,-107.37819166666667,COLORADO,ZDV,RNAV,09/04/2015
TEEBO,39.72018055555556,-105.56080555555555,COLORADO,ZDV,RNAV,11/24/2012
TEHEV,38.56444722222222,-105.40060833333334,COLORADO,ZDV,RP,PUB*VORTAC*281.78
TEHHY,42.48410555555556,-99.99504444444445,NEBRASKA,ZDV,WP,11/02/1998
TEHRU,39.242605555555556,-106.72089166666667,COLORADO,ZDV,RP,DBL*VOR/DME*133.50
TEKAE,38.04859444444444,-103.19258888888889,COLORADO,ZDV,RP,LAA*VOR/DME*237.74/25.52
TEKGU,39.47204722222222,-108.12218333333333,COLORADO,ZDV,RP,RIL*VOR/DME*249.90/19.00
TEKMY,39.976144444444444,-102.35342222222222,COLORADO,ZDV,RP,DEN*VOR/DME*076.00/107.00
TELCU,41.60562222222222,-106.89505000000001,WYOMING,ZDV,RNAV,09/11/2006
TELLR,39.43501944444444,-104.76225555555556,COLORADO,ZDV,RNAV,09/22/2012
TELSE,39.016752777777775,-108.35830277777777,COLORADO,ZDV,RNAV,10/07/2003
TELSY,40.74848333333333,-102.27971111111111,COLORADO,ZDV,WP,11/02/1998
TEPTY,40.64336111111111,-99.63187222222221,NEBRASKA,ZDV,RNAV,03/23/2007
TEROE,39.51971666666667,-107.83444166666666,COLORADO,ZDV,RNAV,11/08/2010
TERRO,38.89109444444444,-105.87306666666666,COLORADO,ZDV,RP,DBL*VOR/DME*112.26
TESKY,38.52245833333333,-106.44791388888889,COLORADO,ZDV,RNAV,08/16/2010
TESSY,39.4962,-108.82982222222222,COLORADO,ZDV,RP,JNC*VOR/DME*341.22/26.23
TETOY,39.43380833333333,-101.78302777777778,KANSAS,ZDV,RNAV,11/18/2015
TEVRE,40.475633333333334,-107.727825,COLORADO,ZDV,RNAV,04/06/2018
TEXCO,38.97125833333334,-104.51601111111111,COLORADO,ZDV,RNAV,08/17/2010
THHEE,39.78928611111111,-106.67622777777778,COLORADO,ZDV,RNAV,12/11/2017
THOAR,39.65283611111111,-104.03186388888889,COLORADO,ZDV,RNAV,02/03/2017
THRUU,39.40266944444444,-105.30893888888889,COLORADO,ZDV,RNAV,09/25/2012
TIGHT,39.87451111111111,-104.40352777777778,COLORADO,ZDV,RNAV,11/24/2012
TIKET,39.38732777777778,-106.9474,COLORADO,ZDV,RP,ASE*LE*330.63/11.33
TIKLR,39.626194444444444,-104.90603611111112,COLORADO,ZDV,RNAV,11/24/2012
TILLI,40.23397222222222,-106.82502777777778,COLORADO,ZDV,RP,CHE*VOR/DME*113.78/27.90
TIPOC,38.53259166666667,-106.80820555555555,COLORADO,ZDV,RNAV,06/08/2009
TIRUE,41.687980555555555,-99.03462499999999,NEBRASKA,ZDV,RNAV,03/16/2009
TLRID,39.54511111111111,-105.19664722222223,COLORADO,ZDV,RNAV,09/25/2012
TOADD,36.296,-111.51033611111112,ARIZONA,ZDV,RNAV,01/20/2016
TOBPU,39.532158333333335,-107.4464138888889,COLORADO,ZDV,RNAV,11/08/2010
TOCUT,37.465775,-105.96515833333333,COLORADO,ZDV,RP,ALS*VORTAC*301.38/10.00
TODDE,38.25210277777778,-103.61650833333333,COLORADO,ZDV,RP,PUB*VORTAC*085.51/38.49
TODVE,41.178238888888885,-105.13433055555556,WYOMING,ZDV,RNAV,07/24/2008
TOJAM,40.05753333333333,-107.6661388888889,COLORADO,ZDV,RP,CHE*VOR/DME*197.00/32.31
TOKKU,40.69243055555555,-99.79113888888888,NEBRASKA,ZDV,RP,LBF*VOR/DME*104.83
