name,latitude,longitude,state,artcc,type,updated
TACKE,32.56666666666667,-96.65833333333335,TEXAS,ZFW,RP,FUZ*VORTAC*120.09/32.70
TADDI,33.392466666666664,-96.65705277777778,TEXAS,ZFW,RP,FUZ*VORTAC*035.00/40.00
TADUC,32.83985277777778,-96.91031944444445,TEXAS,ZFW,RP,TTT*VOR/DME*098.90/6.81
TAFTS,34.15313611111111,-96.87529166666666,OKLAHOMA,ZFW,RP,ADM*VORTAC*097.41/15.00
TAGAE,33.24813888888889,-101.7726611111111,TEXAS,ZFW,RNAV,11/17/2016
TALBE,32.72261666666667,-97.15405555555556,TEXAS,ZFW,RNAV,09/03/2010
TANBE,32.57491944444445,-96.81326666666666,TEXAS,ZFW,RP,FUZ*VORTAC*129.36/26.42
TANDE,32.59320833333334,-97.0316111111111,TEXAS,ZFW,RP,UWX*LD*176.26/16.94
TANKR,31.448372222222222,-100.651325,TEXAS,ZFW,RP,SJT*VORTAC*283.60/11.00
TANNO,32.69800277777777,-97.25506388888888,TEXAS,ZFW,RNAV,05/09/2005
TANPY,34.616769444444444,-96.67193333333334,OKLAHOMA,ZFW,RNAV,03/16/2009
TAPUC,35.12930277777778,-97.23007222222222,OKLAHOMA,ZFW,MW,06/02/2008
TARRO,32.82018055555556,-96.99129166666667,TEXAS,ZFW,RNAV,03/26/2013
TARZN,32.31900277777778,-101.92522222222223,TEXAS,ZFW,RP,MAF*VORTAC*025.00
TASNE,32.97640555555556,-102.84519722222221,TEXAS,ZFW,RP,HOB*VORTAC*035.53/29.50
TATAW,33.023091666666666,-103.32614166666666,NEW MEXICO,ZFW,RNAV,09/30/2014
TAXTU,34.51715,-97.22592222222222,OKLAHOMA,ZFW,RNAV,03/29/2010
TAYOL,32.07432222222223,-101.5564611111111,TEXAS,ZFW,RP,MAF*VORTAC*071.97
TAYOV,33.21135,-95.90090277777779,TEXAS,ZFW,RNAV,02/05/2013
TEBRD,35.006858333333334,-96.99682777777778,OKLAHOMA,ZFW,RNAV,05/28/2014
TECCO,33.52511388888889,-93.90725,ARKANSAS,ZFW,RP,TXK*VORTAC*078.33
TECRO,31.65394722222222,-94.02281388888889,TEXAS,ZFW,RNAV,05/16/2010
TECUF,33.93530277777777,-96.39508888888889,OKLAHOMA,ZFW,WP,11/02/1998
TEEPE,31.914180555555554,-97.52596388888888,TEXAS,ZFW,RP,ACT*VORTAC*310.00/20.00
TEGWA,34.546302777777775,-99.17139166666666,OKLAHOMA,ZFW,RNAV,02/09/2018
TEKBE,32.71331111111111,-94.79555277777777,TEXAS,ZFW,RP,EIC*VORTAC*259.28/50.00
TELLS,34.23500555555556,-98.2731,OKLAHOMA,ZFW,RP,SPS*VORTAC*037.00/21.79
TENTY,32.54676666666666,-99.88391944444444,TEXAS,ZFW,MR,06/02/2017
TEPCO,34.525080555555554,-97.96066111111111,OKLAHOMA,ZFW,RNAV,08/16/2010
TEREY,33.59993055555556,-96.48722222222223,TEXAS,ZFW,RP,BYP*VORTAC*280.49/13.23
TERNE,35.529558333333334,-97.82676666666666,OKLAHOMA,ZFW,RNAV,05/28/2014
TERSE,35.593947222222226,-97.72185833333333,OKLAHOMA,ZFW,RNAV,06/12/2014
TEVCU,32.780252777777775,-96.52981388888888,TEXAS,ZFW,RNAV,07/27/2006
TEVLE,32.279177777777775,-93.47573055555556,LOUISIANA,ZFW,MR,EIC*VORTAC*143.00/34.00
TEYUS,33.86293888888889,-96.68207777777778,TEXAS,ZFW,RP,BYP*VORTAC*305.12/29.71
TEYUV,34.45905277777778,-98.290425,OKLAHOMA,ZFW,RP,SPS*VORTAC*018.00/32.03
THASA,33.11365277777778,-97.29380555555555,TEXAS,ZFW,RNAV,07/09/2014
THEMM,33.83304444444445,-95.87782499999999,TEXAS,ZFW,RNAV,07/13/2014
THHOR,32.69677222222222,-96.33348888888888,TEXAS,ZFW,RNAV,07/09/2014
THING,32.09622777777778,-96.39990555555556,TEXAS,ZFW,RP,FUZ*VORTAC*134.00/61.81
THRPE,34.97542222222222,-97.77725833333334,OKLAHOMA,ZFW,RNAV,05/28/2014
TICNO,33.764986111111114,-101.98344722222222,TEXAS,ZFW,RP,LBB*VORTAC*305.00/5.00
TIDSE,33.933030555555554,-95.64883333333334,OKLAHOMA,ZFW,RNAV,05/14/2012
TIDYL,33.09603611111111,-96.06636666666667,TEXAS,ZFW,MR,MJF*TACAN*347.00/1.80
TIEON,33.08063333333334,-97.92069722222223,TEXAS,ZFW,RP,FUZ*VORTAC*281.22
TIKYS,34.06664722222222,-96.42598055555555,OKLAHOMA,ZFW,RP,FUZ*VORTAC*022.00/80.00
TILLA,32.34447222222222,-97.42445833333333,TEXAS,ZFW,RP,FUZ*VORTAC*194.90/34.92
TILRR,31.590791666666664,-93.57438333333333,LOUISIANA,ZFW,RNAV,08/07/2009
TILUE,32.14094166666666,-97.85040555555555,TEXAS,ZFW,RNAV,02/22/2017
TINLE,33.37788888888889,-97.60002222222222,TEXAS,ZFW,RNAV,03/31/2008
TIPUC,33.76688333333333,-95.04100277777778,TEXAS,ZFW,RNAV,03/30/2004
TIRKE,32.79087777777777,-96.77995,TEXAS,ZFW,RNAV,07/13/2014
TISEE,32.90938333333333,-98.89240000000001,TEXAS,ZFW,RNAV,05/24/2012
TITKE,34.89738888888889,-97.12107222222221,OKLAHOMA,ZFW,RNAV,04/07/2010
TIVEE,32.55166388888889,-91.91250000000001,LOUISIANA,ZFW,RNAV,07/16/2008
TIVLE,32.36168888888889,-99.84088888888888,TEXAS,ZFW,MR,DYS*TACAN*/3.50
TIYGO,33.51671111111111,-94.06129444444444,TEXAS,ZFW,RNAV,06/08/2006
TOFLY,32.890677777777775,-96.9091138888889,TEXAS,ZFW,RNAV,07/13/2014
TOKEN,33.73790277777778,-99.26130555555555,TEXAS,ZFW,WP,07/11/1995
TOKRE,31.810016666666666,-102.39722222222223,TEXAS,ZFW,RNAV,07/30/2012
TOKUY,32.4199,-94.75379722222222,TEXAS,ZFW,RNAV,09/19/2008
TOMHI,32.29886666666666,-99.6742388888889,TEXAS,ZFW,RP,TQA*VOR/DME*052.44
TORNN,31.52038611111111,-96.51471111111111,TEXAS,ZFW,RP,TNV*VOR/DME*334.40/77.42
TORYO,32.67910555555555,-100.49619166666666,TEXAS,ZFW,RNAV,09/02/2011
TOUEY,32.270625,-93.47609722222222,LOUISIANA,ZFW,MR,BAD*TACAN*143.00/17.00
TOURS,31.941058333333334,-97.08833333333332,TEXAS,ZFW,RP,ACT*VORTAC*019.92
TOWDE,32.12205,-96.59549166666666,TEXAS,ZFW,RNAV,08/02/2000
TOWNN,32.97256388888889,-96.90178888888889,TEXAS,ZFW,RP,TTT*VOR/DME*042.49/9.35
TOYAN,31.953380555555555,-96.33732222222221,TEXAS,ZFW,RNAV,08/02/2000
TOYOY,33.69225833333333,-93.91234722222222,ARKANSAS,ZFW,RP,TXK*VORTAC*030.00/13.38
TPAKK,32.993875,-93.42453333333334,LOUISIANA,ZFW,RNAV,09/02/2016
TREAT,32.466550000000005,-100.13872500000001,TEXAS,ZFW,RP,ABI*VORTAC*256.45/14.00
TREXX,32.70772222222222,-97.03014722222223,TEXAS,ZFW,RNAV,07/27/2004
TRISS,32.97004166666667,-96.33240277777777,TEXAS,ZFW,RP,CVE*VOR/DME*074.45/29.26
TROUP,32.29743611111111,-95.32434722222222,TEXAS,ZFW,RP,TYR*VOR/DME*124.99/5.33
TRRCH,32.897169444444444,-96.33348888888888,TEXAS,ZFW,RNAV,07/09/2014
TRRRY,33.60469444444445,-95.36003333333333,TEXAS,ZFW,RNAV,09/13/2016
TRUBY,32.64773888888889,-99.88065555555555,TEXAS,ZFW,MR,ABI*VORTAC*345.00/10.00
TRUSS,32.52755,-99.52743611111111,TEXAS,ZFW,RP,TQA*VOR/DME*030.00
TRUUK,33.389427777777776,-97.27366388888889,TEXAS,ZFW,RNAV,05/13/2015
TRYTN,33.55130555555555,-94.26236944444445,TEXAS,ZFW,RNAV,07/09/2014
TSDEL,34.89558611111111,-97.32983055555555,OKLAHOMA,ZFW,RNAV,05/28/2014
TUCUN,32.89906944444444,-96.26752777777777,TEXAS,ZFW,RNAV,12/15/2005
TUDOY,32.52784722222222,-101.74059166666667,TEXAS,ZFW,RNAV,11/02/2011
TUDPY,33.837975,-101.83011111111111,TEXAS,ZFW,RNAV,08/17/2010
TUFFO,32.6458,-97.02742222222223,TEXAS,ZFW,RP,PKQ*LD*176.26/13.79
TUFIT,32.45218333333334,-97.06562777777778,TEXAS,ZFW,RNAV,07/09/2014
TULOY,32.66865277777777,-96.73618888888889,TEXAS,ZFW,RP,RRA*LD*131.28/20.59
TULUY,33.084805555555555,-97.13851666666667,TEXAS,ZFW,RNAV,05/17/2005
TUMPE,35.41451388888889,-97.38497777777778,OKLAHOMA,ZFW,MR,IRW*VORTAC*066.00/11.50
TUNDE,32.93277222222222,-96.94435277777778,TEXAS,ZFW,RNAV,07/13/2014
TUPLE,33.74195,-96.29644722222223,TEXAS,ZFW,RNAV,05/16/2010
TURKI,34.300925,-101.06083888888888,TEXAS,ZFW,RP,TXO*VORTAC*086.00/89.08
TURNN,31.67524722222222,-93.63906666666668,LOUISIANA,ZFW,RP,DAS*VORTAC*025.02
