name,latitude,longitude,state,artcc,type,updated
TACHI,21.409577777777777,-157.99319722222222,HAWAII,ZHN,MR,HNL*VORTAC*318.86/7.00
TAMMI,20.092655555555556,-156.033475,HAWAII,ZHN,RP,UPP*VORTAC*228.04/12.53
TANFO,21.500791666666668,-153.76645833333333,HAWAII,ZHN,RP,OGG*VORTAC*065.09/153.00
TARLE,21.274927777777776,-158.32807499999998,HAWAII,ZHN,RP,HNL*VORTAC*253.95/22.37
TEBBS,20.79080277777778,-156.50944722222224,HAWAII,ZHN,RP,OGG*LD*203.97/8.50
TEETA,19.820316666666667,-155.70297777777776,HAWAII,ZHN,MR,MUE*VOR/DME*179.00/10.79
TEWVU,20.628744444444443,-157.07275555555555,HAWAII,ZHN,RP,LNY*VORTAC*204.77/10.00
TEZYU,20.838475,-157.19768055555556,HAWAII,ZHN,CN,06/26/2003
THOMA,23.94345,-160.7635,HAWAII,ZHN,RNAV,10/27/2016
TIGAH,20.080541666666665,-155.45375555555555,HAWAII,ZHN,RP,MUE*VOR/DME*056.96/13.17
TOADS,22.76925,-156.69602777777777,HAWAII,ZHN,RP,MKK*VORTAC*004.02/100.65
TORKL,22.95111111111111,-159.8552777777778,HAWAII,ZHU,RNAV,01/13/2011
TRADD,7.017441666666667,-158.38305277777778,,ZHN,RP,PNI*NDB/DME*072.00/11.00
TRUCE,19.763280555555557,-155.12643611111113,HAWAII,ZHN,MR,ITO*VORTAC*279.99/7.00
TYPHO,20.001047222222223,-156.47980555555554,HAWAII,ZHN,RP,KOA*VORTAC*293.67/29.88
TYRAY,22.183333333333334,-157.0,HAWAII,ZHN,RNAV,01/30/2014
AADPO,14.168761111111111,-170.96753333333334,,ZHN,RP,TUT*VORTAC*/18.00
AARES,20.998611111111114,-157.095,HAWAII,ZHN,RNAV,12/14/2011
AATRE,21.21973611111111,-157.92191944444443,HAWAII,ZHN,RNAV,06/02/2014
ACRON,13.623752777777778,-143.03114166666668,GUAM,ZHN,RP,UNZ*VORTAC*274.00/100.00
ADBON,0.0,-154.22833333333332,OFFSHORE PACIFIC,ZHN,RP,03/01/1990
ADLEC,28.46002222222222,-178.00259722222222,MIDWAY ATOLL,ZHN,WP,11/02/2001
ADUFO,7.2438722222222225,-157.77266111111112,,ZHN,MR,PNI*NDB/DME*294.40/30.00
AFOYU,6.657183333333334,-158.58505277777778,,ZHN,RNAV,03/06/2017
AJUMI,20.67805277777778,-156.49981388888887,HAWAII,ZHN,RP,OGG*VORTAC*187.00/14.36
AKKAA,19.65060833333333,-156.13535555555555,HAWAII,ZHN,RNAV,06/10/2014
AKOKE,21.158330555555555,-157.98920277777776,HAWAII,ZHN,RNAV,02/24/2012
AKULE,21.873066666666666,-159.33591666666666,HAWAII,ZHN,RP,SOK*VORTAC*087.59
ALAFU,21.36031388888889,-155.67220555555554,HAWAII,ZHN,RP,OGG*VORTAC*046.00/50.00
ALANA,21.075327777777776,-157.93908611111112,HAWAII,ZHN,RP,CKH*VORTAC*218.45/17.44
ALEWA,20.00621388888889,-155.64853333333332,HAWAII,ZHN,RP,MUE*VOR/DME*056.96/1.30
ALICA,21.582266666666666,-153.38545,HAWAII,ZHN,RP,UPP*VORTAC*047.68/160.90
ALJAI,20.66855,-158.68329722222222,HAWAII,ZHN,MR,HNL*VORTAC*217.00/57.00
ALLUN,22.02871111111111,-157.86206944444444,OFFSHORE PACIFIC,ZHN,MR,NGF*TACAN*340.00/35.00
ALOCA,23.13361111111111,-157.08333333333334,OFFSHORE PACIFIC,ZHN,RNAV,08/29/2011
AMERY,19.95508611111111,-156.4091611111111,HAWAII,ZHN,RP,OGG*VORTAC*168.33/56.87
ANDES,19.82811388888889,-156.21443888888888,HAWAII,ZHN,RP,KOA*VORTAC*293.67/11.66
ANIKA,13.543083333333334,-144.8429888888889,GUAM,ZHN,MR,UAM*TACAN*242.61/6.70
ANUYA,22.126516666666667,-159.18383333333333,HAWAII,ZHN,RNAV,05/24/2007
APACK,24.043702777777778,-156.31954166666665,OFFSHORE PACIFIC,ZHN,RP,MKK*VORTAC*004.00/180.00
APRAN,14.365222222222222,-170.76626944444445,,ZHN,RP,TUT*VORTAC*228.00/3.90
ARBOR,19.981002777777775,-155.13325,HAWAII,ZHN,RP,ITO*VORTAC*325.00/16.99
ARROW,22.355044444444445,-155.20856388888888,HAWAII,ZHN,RP,ITO*VORTAC*345.00/157.84
ASAYA,21.837694444444445,-159.76645833333333,HAWAII,ZHN,MR,NBS*TACAN*165.00/12.00
ATINE,22.641130555555556,-157.224,HAWAII,ZHN,RP,MKK*VORTAC*347.00/90.00
AVIKY,28.236666666666668,-177.27972222222223,MIDWAY ATOLL,ZHN,WP,11/02/2001
AWAHI,21.105316666666667,-155.55583333333334,HAWAII,ZHN,RP,OGG*VORTAC*065.09/50.00
AXTEN,6.821597222222222,-158.67836388888887,,ZHN,RNAV,03/06/2017
AZIBA,21.29975277777778,-154.68842222222221,HAWAII,ZHN,RP,OGG*VORTAC*065.09/100.00
XUSQA,20.799558333333334,-156.44476944444446,HAWAII,ZHN,CN,05/26/2011
MABBL,21.19476388888889,-157.41945555555554,HAWAII,ZHN,RP,LNY*VORTAC*304.56
MAGGI,21.840530555555553,-156.96560833333334,HAWAII,ZHN,RP,CKH*VORTAC*039.00/53.73
MAHAO,22.008058333333334,-159.05716111111113,HAWAII,ZHN,RNAV,05/17/2007
MAILE,21.66841388888889,-160.44492222222223,HAWAII,ZHN,MR,SOK*VORTAC*244.00/53.00
MAITI,19.22293333333333,-151.87963333333335,HAWAII,ZHN,RP,ITO*VORTAC*088.00/180.00
MAKAI,21.25791111111111,-158.00882222222222,HAWAII,ZHN,RNAV,05/16/2002
MAKEN,20.57895,-156.41962777777778,HAWAII,ZHN,RP,OGG*VORTAC*168.78/19.58
MAKOA,21.325130555555557,-158.14149166666667,HAWAII,ZHN,RP,HNL*LD*258.99/13.26
MALIA,19.93422222222222,-155.94479444444445,HAWAII,ZHN,RP,MUE*VOR/DME*245.25/16.00
MAPIE,22.00631111111111,-159.78225555555557,HAWAII,ZHN,MR,NBS*TACAN*165.00/1.88
MARKK,21.478302777777778,-158.03799444444445,HAWAII,ZHN,MW,06/05/2010
MARTI,3.5,-169.275,OFFSHORE PACIFIC,ZHN,RP,02/04/1985
MASAE,21.47992222222222,-157.4291888888889,HAWAII,ZHN,RNAV,06/23/2015
MATAE,21.146466666666665,-158.01594722222222,HAWAII,ZHN,RNAV,05/10/2002
MAVGD,21.299377777777778,-157.94102777777778,HAWAII,ZHN,RP,HNL*VORTAC*217.05/0.80
MAVGK,19.717744444444442,-156.04781111111112,HAWAII,ZHN,CN,03/17/2003
MAVGN,21.151852777777776,-157.10160555555555,HAWAII,ZHN,RP,MKK*VORTAC*066.44/3.78
MAVKP,21.99465,-159.32541666666665,HAWAII,ZHN,CN,06/30/2003
MAVLB,21.949616666666667,-159.33166111111112,HAWAII,ZHN,CN,07/01/2003
MEGUE,22.126955555555558,-159.27237222222223,HAWAII,ZHN,RNAV,03/19/2003
MIKEY,20.98224722222222,-156.3833277777778,HAWAII,ZHN,RP,OGG*VORTAC*014.00/5.00
MILTI,20.870975,-158.10899722222223,HAWAII,ZHN,RP,HNL*VORTAC*190.00/28.00
MOANA,19.970227777777776,-156.26428055555556,HAWAII,ZHN,RP,UPP*VORTAC*229.00
MOBRE,20.987005555555555,-156.23330555555555,HAWAII,ZHN,RNAV,12/04/2008
MOEER,7.051777777777778,-158.09394444444445,,ZHN,RP,PNI*NDB/DME*294.00/8.00
MORKE,21.789291666666667,-159.3359,HAWAII,ZHN,RP,SOK*VORTAC*110.63
MUGGE,21.656238888888886,-157.79449166666666,HAWAII,ZHN,RP,HNL*VORTAC*009.06/22.15
MYNAH,19.81188888888889,-156.08585555555555,HAWAII,ZHN,RP,MUE*VOR/DME*233.75/26.02
LANEO,21.24887777777778,-158.0192,HAWAII,ZHN,RP,IUM*LD*222.01/8.10
LARYN,21.933794444444445,-157.19719444444445,HAWAII,ZHN,RP,MKK*VORTAC*347.00/47.60
LAVAS,20.490569444444446,-156.41926388888888,HAWAII,ZHN,RP,OGG*VORTAC*168.78/24.86
LAYIG,21.176066666666667,-158.01724722222224,HAWAII,ZHN,RNAV,07/31/2006
LEANE,21.26940833333333,-159.71467777777778,HAWAII,ZHN,RP,SOK*VORTAC*184.00
LEHUA,21.187313888888887,-157.80720000000002,HAWAII,ZHN,RP,CKH*VORTAC*220.50
LELEO,21.994736111111113,-159.3253361111111,HAWAII,ZHN,RP,LIH*VORTAC*011.02/1.90
LETTR,21.512169444444446,-157.73301944444444,HAWAII,ZHN,MR,NGF*TACAN*011.65/3.60
LICEP,20.01551111111111,-155.62470555555555,HAWAII,ZHN,RNAV,07/20/2011
LILIA,22.5077,-161.5831388888889,HAWAII,ZHN,RP,SOK*VORTAC*277.00/120.00
LIMPE,14.219544444444445,-170.99465277777776,,ZHN,RP,TUT*VORTAC*280.00/18.00
LNBRG,20.63863333333333,-155.93373055555557,HAWAII,ZHN,RP,UPP*VORTAC*338.00/26.68
LNDHY,21.17361111111111,-156.125,HAWAII,ZHN,RNAV,05/26/2011
LOKIE,21.12396111111111,-157.34505000000001,HAWAII,ZHN,RP,LNY*VORTAC*304.56
LORET,20.99081388888889,-156.69139444444446,HAWAII,ZHN,RP,LNY*VORTAC*038.00
LUANA,20.010816666666667,-155.65525833333334,HAWAII,ZHN,RNAV,07/10/2003
LUYEV,21.026125,-157.990525,HAWAII,ZHN,RNAV,05/21/2007
