name,latitude,longitude,state,artcc,type,updated
TAAHD,29.31062777777778,-98.83871666666666,TEXAS,ZHU,RNAV,08/30/2015
TABRR,30.22827222222222,-94.69003888888889,TEXAS,ZHU,RNAV,03/11/2014
TABUQ,29.3612,-90.75703055555556,LOUISIANA,ZHU,RNAV,05/04/2009
TACCU,30.764122222222223,-88.487275,MISSISSIPPI,ZHU,RP,SJI*VORTAC*284.07/7.00
TACOE,29.684558333333335,-100.23998055555556,TEXAS,ZHU,MR,RSG*VORTAC*161.00/20.00
TAELR,30.256305555555556,-100.8983638888889,TEXAS,ZHU,MR,DLF*VORTAC*346.00/54.00
TAFCU,29.601322222222223,-98.04518611111111,TEXAS,ZHU,RNAV,12/27/2007
TAHKO,29.427522222222223,-98.20883333333333,TEXAS,ZHU,RNAV,06/02/2016
TALLN,29.366830555555556,-97.85289999999999,TEXAS,ZHU,MR,DHK*TACAN*110.00/24.00
TALOC,29.854055555555558,-94.04808333333334,TEXAS,ZHU,RNAV,08/30/2005
TANKS,29.977616666666666,-95.22236111111111,TEXAS,ZHU,RP,HUB*VOR/DME*002.56
TANNA,28.623619444444444,-96.59339999999999,TEXAS,ZHU,RP,PSX*VORTAC*233.00/17.34
TAPOW,29.376952777777777,-95.04326666666667,TEXAS,ZHU,RP,EFD*TACAN*151.00/15.00
TARCU,29.484705555555557,-95.04643055555556,TEXAS,ZHU,RNAV,11/16/2012
TARGE,26.306780555555555,-97.74387222222222,TEXAS,ZHU,RNAV,08/09/2012
TARRA,30.501605555555557,-98.93823888888889,TEXAS,ZHU,MR,JCT*VORTAC*089.00/47.00
TASME,29.415824999999998,-98.80834444444444,TEXAS,ZHU,MR,KSY*TACAN*273.00/12.00
TATAR,29.88708611111111,-98.80245833333333,TEXAS,ZHU,RP,SAT*VORTAC*301.32/23.00
TATAU,30.04335,-97.76569722222222,TEXAS,ZHU,RNAV,10/20/2017
TATER,30.441938888888888,-91.39848888888889,LOUISIANA,ZHU,RP,LSU*VORTAC*238.50/6.00
TAZHA,30.841402777777777,-94.03578055555555,TEXAS,ZHU,RNAV,07/07/2009
TBDCC,29.333333333333332,-91.0,OFFSHORE GULF,ZHU,RNAV,12/18/2017
TBDCD,29.0,-91.0,OFFSHORE GULF,ZHU,WP,07/15/1998
TBDCE,28.666666666666668,-91.0,OFFSHORE GULF,ZHU,WP,07/15/1998
TBDCF,28.333333333333332,-91.0,OFFSHORE GULF,ZHU,WP,07/15/1998
TBDCG,28.0,-91.0,OFFSHORE GULF,ZHU,WP,07/15/1998
TBDCH,27.666666666666668,-91.0,OFFSHORE GULF,ZHU,WP,07/15/1998
TBDCI,27.333333333333332,-91.0,OFFSHORE GULF,ZHU,WP,07/16/1998
TBDCJ,27.0,-91.0,OFFSHORE GULF,ZHU,WP,07/16/1998
TBDCK,26.666666666666668,-91.0,OFFSHORE GULF,ZHU,WP,07/16/1998
TBDCL,26.333333333333332,-91.0,OFFSHORE GULF,ZHU,WP,07/16/1998
TBDCM,26.0,-91.0,OFFSHORE GULF,ZHU,WP,07/16/1998
TBDCN,25.666666666666668,-91.0,OFFSHORE GULF,ZHU,WP,07/16/1998
TBDCO,25.333333333333332,-91.0,OFFSHORE GULF,ZHU,WP,07/16/1998
TBDCP,25.0,-91.0,OFFSHORE GULF,ZHU,WP,07/16/1998
TBDCQ,24.666666666666668,-91.0,OFFSHORE GULF,ZHU,WP,07/16/1998
TBDLC,29.333333333333332,-91.33333333333333,OFFSHORE GULF,ZHU,RNAV,04/11/2012
TBDLD,29.0,-91.33333333333333,OFFSHORE GULF,ZHU,WP,07/14/1998
TBDLE,28.666666666666668,-91.33333333333333,OFFSHORE GULF,ZHU,WP,07/14/1998
TBDLF,28.333333333333332,-91.33333333333333,OFFSHORE GULF,ZHU,WP,07/14/1998
TBDLG,28.0,-91.33333333333333,OFFSHORE GULF,ZHU,WP,07/14/1998
TBDLH,27.666666666666668,-91.33333333333333,OFFSHORE GULF,ZHU,WP,07/14/1998
TBDLI,27.333333333333332,-91.33333333333333,OFFSHORE GULF,ZHU,WP,07/14/1998
TBDLJ,27.0,-91.33333333333333,OFFSHORE GULF,ZHU,WP,07/14/1998
TBDLK,26.666666666666668,-91.33333333333333,OFFSHORE GULF,ZHU,WP,07/14/1998
TBDLL,26.333333333333332,-91.33333333333333,OFFSHORE GULF,ZHU,WP,07/14/1998
TBDLM,26.0,-91.33333333333333,OFFSHORE GULF,ZHU,WP,07/14/1998
TBDLN,25.666666666666668,-91.33333333333333,OFFSHORE GULF,ZHU,WP,07/15/1998
TBDLO,25.333333333333332,-91.33333333333333,OFFSHORE GULF,ZHU,WP,07/15/1998
TBDLP,25.0,-91.33333333333333,OFFSHORE GULF,ZHU,WP,07/15/1998
TBDLQ,24.666666666666668,-91.33333333333333,OFFSHORE GULF,ZHU,WP,07/15/1998
TBDRC,29.333333333333332,-90.66666666666667,OFFSHORE GULF,ZHU,RNAV,12/18/2017
TBDRD,29.0,-90.66666666666667,OFFSHORE GULF,ZHU,WP,07/16/1998
TBDRE,28.666666666666668,-90.66666666666667,OFFSHORE GULF,ZHU,WP,07/16/1998
TBDRF,28.333333333333332,-90.66666666666667,OFFSHORE GULF,ZHU,WP,07/16/1998
TBDRG,28.0,-90.66666666666667,OFFSHORE GULF,ZHU,WP,07/16/1998
TBDRH,27.666666666666668,-90.66666666666667,OFFSHORE GULF,ZHU,WP,07/16/1998
TBDRI,27.333333333333332,-90.66666666666667,OFFSHORE GULF,ZHU,WP,07/16/1998
TBDRJ,27.0,-90.66666666666667,OFFSHORE GULF,ZHU,WP,07/16/1998
TBDRK,26.666666666666668,-90.66666666666667,OFFSHORE GULF,ZHU,WP,07/16/1998
TBDRL,26.333333333333332,-90.66666666666667,OFFSHORE GULF,ZHU,WP,07/16/1998
TBDRM,26.0,-90.66666666666667,OFFSHORE GULF,ZHU,WP,07/16/1998
TBDRN,25.666666666666668,-90.66666666666667,OFFSHORE GULF,ZHU,WP,07/17/1998
TBDRO,25.333333333333332,-90.66666666666667,OFFSHORE GULF,ZHU,WP,07/17/1998
TBDRP,25.0,-90.66666666666667,OFFSHORE GULF,ZHU,WP,07/17/1998
TBDRQ,24.666666666666668,-90.66666666666667,OFFSHORE GULF,ZHU,WP,07/17/1998
TBEND,31.198647222222224,-93.96617222222223,TEXAS,ZHU,RP,LFK*VORTAC*081.59/38.70
TBURG,31.676997222222223,-91.36892499999999,MISSISSIPPI,ZHU,RP,HAH*NDB*255.46
TCHDN,29.632755555555555,-95.3859388888889,TEXAS,ZHU,RP,IAH*VORTAC*181.19
TEBSE,27.396380555555556,-98.27024444444444,TEXAS,ZHU,RNAV,07/13/2017
TECUR,28.066441666666666,-98.1934138888889,TEXAS,ZHU,MR,NQI*TACAN*324.79/39.72
TEGOY,29.410769444444444,-95.29950555555556,TEXAS,ZHU,RNAV,04/02/2007
TEJAS,29.68673888888889,-95.90304166666667,TEXAS,ZHU,RNAV,03/07/2014
TELNY,30.826269444444446,-95.96984444444445,TEXAS,ZHU,RNAV,06/08/2017
TELYO,26.28478888888889,-97.99525,TEXAS,ZHU,RNAV,07/27/2006
TEMCO,29.798547222222226,-93.599475,LOUISIANA,ZHU,RP,BPT*VOR/DME*105.00
TEMKN,28.40167222222222,-97.43953888888889,TEXAS,ZHU,MW,12/26/2017
TENAT,31.390427777777777,-98.08678055555555,TEXAS,ZHU,RP,ACT*VORTAC*240.00/44.98
TENIA,29.84421111111111,-95.51973333333333,TEXAS,ZHU,RNAV,01/24/2018
TENSA,31.136480555555554,-87.8166611111111,ALABAMA,ZHU,RP,GCV*VORTAC*081.00
TENTH,29.782405555555556,-92.77233888888888,LOUISIANA,ZHU,RNAV,02/28/2017
TENUH,27.75738888888889,-97.4959361111111,TEXAS,ZHU,RP,OYC*LD*172.11/1.60
TEPNE,29.358497222222223,-89.45031388888889,LOUISIANA,ZHU,RNAV,04/26/2018
TERCU,29.922736111111114,-93.35026944444444,LOUISIANA,ZHU,RNAV,01/03/2009
