name,latitude,longitude,state,artcc,type,updated
TAATR,37.92819166666666,-85.53904444444444,KENTUCKY,ZID,RNAV,05/09/2016
TABBO,39.010688888888886,-84.6688388888889,KENTUCKY,ZID,RP,CVG*LD*186.18/3.42
TABOE,40.14275277777778,-84.41888333333334,OHIO,ZID,RNAV,04/05/2004
TACOD,39.849538888888894,-83.82537777777777,OHIO,ZID,MR,XSF*TACAN*/0.98
TACOY,39.26145555555556,-82.11540555555555,OHIO,ZID,RNAV,10/05/2017
TACTO,39.66106111111111,-87.59290833333333,ILLINOIS,ZID,RP,TTH*VORTAC*301.00/19.00
TAFTT,37.543074999999995,-82.83998055555556,KENTUCKY,ZID,RNAV,06/24/2015
TALAC,39.67050833333333,-84.18172777777778,OHIO,ZID,RP,MGY*LE*NE CRS/5.84
TANSY,39.99378055555556,-84.25305555555556,OHIO,ZID,RNAV,04/11/2014
TANYA,37.72616666666667,-85.87148888888888,KENTUCKY,ZID,RNAV,04/12/2006
TAPIE,38.91244722222222,-84.50079444444444,KENTUCKY,ZID,RP,CVG*VORTAC*127.15/11.33
TARCI,38.27668888888889,-81.30946666666667,WEST VIRGINIA,ZID,RP,BKW*VOR/DME*349.55/31.03
TARNE,39.45673611111111,-85.50067777777778,INDIANA,ZID,RNAV,07/08/2013
TARRE,38.02688333333333,-85.46604444444445,KENTUCKY,ZID,MR,IIU*VORTAC*130.00/7.00
TARRY,40.05438888888889,-83.91423888888889,OHIO,ZID,RP,DQN*VOR/DME*085.01
TARTO,39.53474166666666,-82.63001388888888,OHIO,ZID,RP,APE*VORTAC*189.00/37.00
TASKE,38.91351944444445,-82.089125,OHIO,ZID,RP,HNN*VORTAC*345.85/10.00
TASUY,39.87493055555556,-85.05253611111111,INDIANA,ZID,RNAV,02/06/2018
TASVE,39.44743055555555,-87.48809444444444,INDIANA,ZID,RNAV,07/26/2012
TATAL,37.29401111111111,-87.20484444444445,KENTUCKY,ZID,RP,CCT*VORTAC*152.99/6.00
TAULS,37.529580555555555,-82.34056666666666,KENTUCKY,ZID,RNAV,09/14/2011
TAYOS,37.63954444444445,-83.58816666666667,KENTUCKY,ZID,RP,FLM*VOR/DME*154.31/69.52
TAZHU,40.03465277777778,-82.21078611111112,OHIO,ZID,RNAV,07/01/2016
