name,latitude,longitude,state,artcc,type,updated
TABIR,28.419844444444447,-83.00325833333333,FLORIDA,ZJX,RP,PIE*VORTAC*330.18/35.00
TACOT,28.690266666666666,-81.29855277777777,FLORIDA,ZJX,RP,DIZ*LD*005.47/17.06
TACUR,29.100491666666667,-81.24233055555555,FLORIDA,ZJX,RNAV,04/05/2004
TADVE,30.414491666666667,-81.62623888888888,FLORIDA,ZJX,RNAV,07/11/2017
TAKKY,31.41408611111111,-85.46893333333334,ALABAMA,ZJX,RP,OZR*VOR/DME*055.00
TALZA,28.943572222222222,-82.22273611111112,FLORIDA,ZJX,RP,OCF*VORTAC*/14.00
TAMEE,30.58143611111111,-86.49078333333334,FLORIDA,ZJX,MR,CEW*VORTAC*143.33
TASCH,30.53488888888889,-82.04753611111111,GEORGIA,ZJX,RNAV,08/26/2013
TASTY,33.50483611111111,-80.74150277777778,SOUTH CAROLINA,ZJX,RNAV,05/06/2016
TATGE,28.974091666666666,-80.97511111111112,FLORIDA,ZJX,RNAV,10/12/2006
TATYU,31.979438888888886,-82.865625,GEORGIA,ZJX,RNAV,06/16/2008
TAWKE,31.26465,-81.2183,GEORGIA,ZJX,RNAV,09/15/2009
TAYLA,29.78685,-82.12824722222221,FLORIDA,ZJX,RP,GNV*VORTAC*057.09/9.45
TAZAN,30.194119444444446,-82.68422222222223,FLORIDA,ZJX,RNAV,02/27/2013
TBACK,28.598097222222222,-81.28416944444444,FLORIDA,ZJX,RNAV,11/20/2003
TBEAU,28.634097222222223,-81.5305,FLORIDA,ZJX,RNAV,08/11/2012
TEASY,30.854791666666667,-86.98587222222223,FLORIDA,ZJX,MW,03/04/2010
TEBOW,30.096091666666666,-82.07575,FLORIDA,ZJX,RNAV,09/17/2014
TEEGN,28.188319444444446,-83.06325,FLORIDA,ZJX,RNAV,11/21/2010
TEEZY,30.183111111111113,-87.68918333333333,ALABAMA,ZJX,RNAV,06/06/2011
TEKAY,30.060569444444447,-86.52086666666666,FLORIDA,ZJX,MR,DWG*TACAN*180.00/25.00
TELOE,32.12621111111111,-80.96741388888888,SOUTH CAROLINA,ZJX,RNAV,07/14/2005
TENNI,34.78161111111111,-80.06352222222222,SOUTH CAROLINA,ZJX,RP,FLO*VORTAC*331.60
TENUY,28.751022222222222,-81.66276666666667,FLORIDA,ZJX,RNAV,11/01/2013
TEPEE,28.00031388888889,-82.3665361111111,FLORIDA,ZJX,RP,PIE*VORTAC*076.77
TEPID,34.24910277777778,-81.17179166666668,SOUTH CAROLINA,ZJX,RNAV,10/11/2017
TEPTE,30.025683333333333,-83.58575277777777,FLORIDA,ZJX,RNAV,08/08/2010
TERBE,31.912444444444443,-81.19844722222223,GEORGIA,ZJX,RNAV,05/26/2009
TERES,29.93548888888889,-84.33569722222222,FLORIDA,ZJX,RP,OTK*VOR/DME*229.57
TERLY,32.59119722222223,-80.48549444444444,SOUTH CAROLINA,ZJX,RP,SAV*VORTAC*059.51/45.00
TERZE,30.444580555555557,-87.09623055555555,FLORIDA,ZJX,RNAV,07/05/2007
TESNE,30.311486111111112,-86.67926944444444,FLORIDA,ZJX,MR,HRT*TACAN*/7.00
TETOO,31.31077777777778,-83.73725833333333,GEORGIA,ZJX,MR,VAD*TACAN*310.00/35.00
TEWUN,30.756955555555557,-83.99492222222223,GEORGIA,ZJX,RP,OTK*VOR/DME*270.00/37.00
TEXXS,30.375072222222222,-86.32251944444444,FLORIDA,ZJX,MR,DWG*TACAN*120.92/12.00
THEOX,28.14527777777778,-82.17361111111111,FLORIDA,ZJX,RNAV,08/17/2017
THHUD,31.84722222222222,-83.77944444444444,GEORGIA,ZJX,RNAV,08/22/2017
TIARA,34.55427222222222,-80.21425277777779,SOUTH CAROLINA,ZJX,RP,CTF*VOR/DME*155.45/6.50
TIBOC,33.898825,-81.15914444444445,SOUTH CAROLINA,ZJX,RNAV,07/12/2005
TIDOE,30.569383333333334,-86.76965833333334,FLORIDA,ZJX,MR,DWG*TACAN*293.00/14.00
TIDTO,31.401413888888886,-82.532075,GEORGIA,ZJX,CN,07/03/2003
TIGAE,29.08615,-81.2904361111111,FLORIDA,ZJX,RP,OMN*VORTAC*215.74
TIGEE,31.09701944444444,-83.50336944444444,GEORGIA,ZJX,RNAV,02/07/2013
TIGLE,30.454502777777776,-87.28763333333333,FLORIDA,ZJX,RNAV,06/20/2012
TIKIE,32.512325,-81.7647861111111,GEORGIA,ZJX,RNAV,07/12/2007
TIKRY,30.55807777777778,-81.4971,FLORIDA,ZJX,RP,CRG*VORTAC*005.90
TIKUY,28.869866666666667,-81.147125,FLORIDA,ZJX,RP,OMN*VORTAC*184.00/26.00
TILEE,32.13066388888889,-81.45391111111111,GEORGIA,ZJX,RNAV,07/14/2005
TILLS,32.47891666666667,-81.23468333333334,GEORGIA,ZJX,RP,SAV*VORTAC*000.82/20.00
TIMIE,29.013816666666667,-80.74017777777777,FLORIDA,ZJX,RNAV,01/22/2009
TIMPE,29.72475833333333,-82.22940555555556,FLORIDA,ZJX,RP,GNV*VORTAC*053.35/3.00
TINBE,30.41691388888889,-86.97364444444445,FLORIDA,ZJX,MR,NGS*TACAN*188.00/12.00
TIPGE,34.316675000000004,-79.08391666666667,NORTH CAROLINA,ZJX,RNAV,09/05/2014
TIPOE,32.95752777777778,-80.08187222222222,SOUTH CAROLINA,ZJX,RNAV,06/13/2012
TIYOB,28.0671,-82.32156666666667,FLORIDA,ZJX,RNAV,04/19/2012
TIYUN,31.040019444444447,-85.82211111111111,ALABAMA,ZJX,RNAV,06/12/2014
TIZRO,28.089238888888886,-82.14047222222223,FLORIDA,ZJX,WP,11/02/1998
TNPIN,34.37195,-79.71866944444444,SOUTH CAROLINA,ZJX,RNAV,04/01/2009
TOCOB,28.198652777777777,-82.23569166666667,FLORIDA,ZJX,RNAV,03/26/2011
TOCOP,28.753555555555554,-82.32401944444445,FLORIDA,ZJX,RNAV,02/27/2012
TOGKU,31.105358333333335,-81.56595,GEORGIA,ZJX,CN,07/03/2003
TOHCI,29.66793611111111,-81.44825,FLORIDA,ZJX,RNAV,08/20/2010
TOKUC,30.07596388888889,-82.36897499999999,FLORIDA,ZJX,RNAV,06/12/2008
TOLBY,29.706458333333334,-82.2011138888889,FLORIDA,ZJX,RNAV,11/21/2008
TOLEE,31.206844444444442,-84.86758055555555,GEORGIA,ZJX,RNAV,10/24/2011
TOLLS,34.21070277777778,-80.49076388888889,SOUTH CAROLINA,ZJX,RP,SSC*TACAN*360.00/14.00
TOMDY,30.935177777777778,-81.42359166666667,GEORGIA,ZJX,RP,SSI*VORTAC*174.51/7.00
TOMMA,30.372575,-86.31748611111111,FLORIDA,ZJX,MR,VPS*LD*119.68
TONOW,30.95243333333333,-81.51985833333333,GEORGIA,ZJX,CN,07/03/2003
TOPVE,30.16188888888889,-87.03333333333333,FLORIDA,ZJX,MW,07/08/2016
TOROE,30.364383333333336,-87.290575,FLORIDA,ZJX,MR,NPA*TACAN*073.00/1.40
TORRY,30.42221388888889,-78.86375555555556,FLORIDA,ZJX,RP,CRG*VORTAC*090.00/137.40
TOSCU,33.525391666666664,-80.78885277777778,SOUTH CAROLINA,ZJX,RNAV,04/27/2010
TOSEA,32.234175,-81.20088611111112,GEORGIA,ZJX,RNAV,05/26/2009
TOSKE,30.36805,-85.79276388888889,FLORIDA,ZJX,MR,PAM*TACAN*331.00/21.00
TOTWY,30.21537777777778,-81.93014166666667,FLORIDA,ZJX,RNAV,11/01/2010
TOWEY,34.64875,-79.62803888888888,SOUTH CAROLINA,ZJX,RP,CTF*VOR/DME*093.00
TOWWE,29.87641111111111,-85.39536944444446,FLORIDA,ZJX,MR,PAM*TACAN*146.00/15.00
TRANK,31.649319444444444,-83.61832777777776,GEORGIA,ZJX,RNAV,08/16/2017
TRAPR,28.66231388888889,-82.11654999999999,FLORIDA,ZJX,RNAV,11/21/2010
TRAUT,30.751791666666666,-86.52100555555556,FLORIDA,ZJX,MR,DWG*TACAN*/16.38
TREAL,33.06970555555556,-81.44105555555556,SOUTH CAROLINA,ZJX,RP,CAE*VORTAC*204.50/51.01
TROCK,34.48046111111111,-79.40209722222222,SOUTH CAROLINA,ZJX,RP,FLO*VORTAC*043.45/19.50
TROJN,30.838844444444444,-87.20838611111111,FLORIDA,ZJX,MR,NSE*TACAN*307.00/12.00
TROUT,30.383583333333334,-76.99962777777777,FLORIDA,ZJX,RP,05/07/1985
TROWT,29.37879722222222,-84.97543055555556,FLORIDA,ZJX,MR,PAM*TACAN*147.00/52.00
TRTLS,33.23287777777778,-80.67347500000001,SOUTH CAROLINA,ZJX,RNAV,07/05/2011
TRUET,32.30130833333333,-82.58591944444444,GEORGIA,ZJX,RP,DBN*VORTAC*146.64/20.00
TRUEX,34.59874444444445,-80.3551,SOUTH CAROLINA,ZJX,RNAV,04/09/2014
TTIGR,28.720277777777778,-81.64972222222222,FLORIDA,ZJX,RNAV,10/24/2007
TTREE,31.15074444444444,-83.48816111111111,GEORGIA,ZJX,MR,VAD*TACAN*310.00/19.00
TTUNA,30.26881388888889,-87.33060555555555,FLORIDA,ZJX,MW,05/01/2008
TUCCR,30.314466666666668,-81.80486388888889,FLORIDA,ZJX,RP,CRG*VORTAC*267.63
TUCHO,28.943641666666668,-82.12775277777777,FLORIDA,ZJX,RNAV,10/29/2008
TUCKE,28.32748611111111,-82.64562777777779,FLORIDA,ZJX,RNAV,07/02/2008
TUFER,30.277763888888888,-86.52086666666666,FLORIDA,ZJX,MR,DWG*TACAN*180.00/12.00
TUFFE,28.555977777777777,-81.32814444444445,FLORIDA,ZJX,RP,TFE*LD*005.45/8.63
TUKSE,29.647691666666667,-82.05588333333333,FLORIDA,ZJX,RNAV,05/31/2005
TUMPY,28.176383333333334,-82.42973333333333,FLORIDA,ZJX,RP,PIE*VORTAC*045.00/21.00
TUMSE,32.94538055555555,-80.07265555555556,SOUTH CAROLINA,ZJX,RNAV,08/10/2010
TUMVY,31.23495555555556,-83.66449722222222,GEORGIA,ZJX,RNAV,03/23/2007
TUNJU,30.071916666666667,-81.51443611111111,FLORIDA,ZJX,RNAV,01/26/2009
TUPGE,31.441216666666666,-84.16111666666667,GEORGIA,ZJX,RNAV,07/15/2009
TUPPS,31.354122222222223,-85.531575,ALABAMA,ZJX,MR,OZR*VOR/DME*065.95/11.23
TURLE,29.826602777777776,-82.06736666666666,FLORIDA,ZJX,RP,GNV*VORTAC*057.09/13.42
TUSKS,30.471177777777775,-87.03288611111111,FLORIDA,ZJX,MW,02/24/2016
TUSNE,30.86245277777778,-86.51894166666666,FLORIDA,ZJX,MR,DWG*TACAN*/23.00
TWETY,30.60838888888889,-82.31875,FLORIDA,ZJX,RNAV,10/24/2007
TWNNZ,28.781855555555556,-81.14574444444445,FLORIDA,ZJX,RP,ORL*VORTAC*034.87
TWONA,28.603611111111114,-81.42416666666666,FLORIDA,ZJX,RNAV,10/24/2007
TXNBX,30.05,-87.78333333333333,FLORIDA,ZJX,RNAV,12/21/2016
TYBEE,31.838052777777776,-80.87022777777777,GEORGIA,ZJX,RP,CRG*VORTAC*023.00/95.61
TYBOX,30.178925,-85.59455555555554,FLORIDA,ZJX,RNAV,04/19/2012
TYDOE,32.821375,-81.56163611111111,GEORGIA,ZJX,RP,CAE*VORTAC*204.50/67.08
TYLOR,32.87074444444445,-80.1911,SOUTH CAROLINA,ZJX,RNAV,07/05/2011
TYLUR,30.39123888888889,-86.53820555555555,FLORIDA,ZJX,MW,04/02/2007
TYNES,31.8644,-81.53475833333333,GEORGIA,ZJX,RNAV,06/28/2017
TYPAL,28.840630555555553,-80.90738055555556,FLORIDA,ZJX,RNAV,02/27/2015
AADEN,31.541133333333335,-82.92853055555555,GEORGIA,ZJX,RNAV,11/21/2017
AALEX,33.05354722222222,-80.34076944444443,SOUTH CAROLINA,ZJX,RNAV,06/02/2011
ACAPU,30.73588611111111,-81.66496666666667,FLORIDA,ZJX,RNAV,08/14/2013
ACEJU,29.594877777777775,-82.91498055555556,FLORIDA,ZJX,CN,09/12/2002
ACENE,30.53437777777778,-81.62130555555555,FLORIDA,ZJX,RNAV,08/26/2013
ACETI,30.112544444444445,-81.873025,FLORIDA,ZJX,RP,VQQ*LD*184.56/7.50
ACHAV,29.482516666666665,-83.06036944444445,FLORIDA,ZJX,CN,09/12/2002
ACMOF,28.884947222222223,-81.89262777777779,FLORIDA,ZJX,RNAV,11/03/2011
ADAVE,33.80728055555555,-81.05809166666667,SOUTH CAROLINA,ZJX,MR,CAE*VORTAC*186.00/3.00
ADCOM,33.73270277777778,-80.92070277777778,SOUTH CAROLINA,ZJX,RP,ALD*VOR*024.30
ADDAX,29.981116666666665,-83.99830833333334,FLORIDA,ZJX,RP,CTY*VORTAC*297.00/54.59
ADEPT,34.706944444444446,-80.15583333333333,SOUTH CAROLINA,ZJX,RNAV,11/18/2016
ADERR,30.268513888888886,-81.43235,FLORIDA,ZJX,RP,CRG*VORTAC*/5.83
ADERY,32.94799722222222,-80.12327499999999,SOUTH CAROLINA,ZJX,RNAV,06/13/2012
ADOMS,32.71567777777778,-80.510075,SOUTH CAROLINA,ZJX,RP,ALD*VOR*115.00
ADUYA,30.595719444444445,-81.64101388888889,FLORIDA,ZJX,RNAV,10/16/2013
ADWEL,31.25638888888889,-85.96413333333334,ALABAMA,ZJX,RNAV,07/07/2009
AFARR,30.42024166666667,-81.61034444444444,FLORIDA,ZJX,RP,CRG*VORTAC*316.09/7.13
AFLUC,31.384080555555556,-85.52881944444444,ALABAMA,ZJX,RNAV,04/11/2013
AFUFI,31.77168611111111,-83.25117777777778,GEORGIA,ZJX,RNAV,07/19/2011
AFXEW,30.535297222222223,-81.81040555555555,FLORIDA,ZJX,RNAV,11/28/2012
AGASE,28.061394444444446,-82.83229444444444,FLORIDA,ZJX,RNAV,03/16/2007
AGLUY,31.334588888888888,-82.39960555555557,GEORGIA,ZJX,RP,AYS*VORTAC*064.14
AGMEQ,31.154444444444444,-82.39682777777779,GEORGIA,ZJX,RNAV,10/23/2012
AGOMY,31.831233333333333,-81.64668888888889,GEORGIA,ZJX,RNAV,05/08/2009
AGOZE,34.06520833333333,-80.28313888888889,SOUTH CAROLINA,ZJX,RP,SMS*LD*050.17/6.33
AGUME,31.999361111111114,-83.88175,GEORGIA,ZJX,RNAV,03/23/2017
AGUVE,33.967777777777776,-81.24638888888889,SOUTH CAROLINA,ZJX,RNAV,07/14/2009
AHEFY,32.75553333333333,-80.49068888888888,SOUTH CAROLINA,ZJX,RNAV,01/01/2010
AHIDO,32.19871666666666,-81.6498888888889,GEORGIA,ZJX,RNAV,09/10/2009
AHJUN,30.903138888888886,-81.40840277777778,GEORGIA,ZJX,RNAV,08/25/2009
AHMIV,30.516033333333333,-81.8155861111111,FLORIDA,ZJX,RNAV,11/28/2012
