name,latitude,longitude,state,artcc,type,updated
TABCO,39.07758333333334,-92.04281666666667,MISSOURI,ZKC,RNAV,12/22/2003
TAGRT,39.271525,-94.49721666666667,MISSOURI,ZKC,RP,UQY*LD*094.14/10.99
TANKE,39.30922222222222,-90.98680277777778,MISSOURI,ZKC,RNAV,01/29/2002
TANUC,37.517272222222225,-97.39075833333334,KANSAS,ZKC,RNAV,08/09/2007
TANZI,37.300625,-89.90788888888889,MISSOURI,ZKC,RP,CGI*VOR/DME*287.35
TAPLY,36.33768888888889,-99.52198333333334,OKLAHOMA,ZKC,RNAV,07/10/2009
TARKE,36.21573888888889,-98.183175,OKLAHOMA,ZKC,MR,END*VORTAC*234.00/15.00
TARKI,39.556438888888884,-92.45364444444445,MISSOURI,ZKC,RP,MCM*VOR/DME*161.26/6.00
TAROE,37.08396944444445,-93.57590555555555,MISSOURI,ZKC,RP,SGF*VORTAC*211.49/20.00
TARTS,39.778025,-91.42624444444445,MISSOURI,ZKC,RP,UIN*VORTAC*233.46/8.00
TATRR,39.02064444444444,-90.59299722222222,ILLINOIS,ZKC,RNAV,09/24/2012
TAUBE,39.17731388888889,-94.78595555555556,KANSAS,ZKC,RNAV,01/31/2013
TAVSE,40.07756666666667,-91.37032222222221,ILLINOIS,ZKC,RNAV,11/17/2008
TAYUG,39.99875,-95.5291,KANSAS,ZKC,RNAV,11/12/2014
TEBTE,36.31191666666666,-97.92409444444445,OKLAHOMA,ZKC,MR,END*VORTAC*183.00/2.00
TECOY,39.78392777777778,-89.77563055555555,ILLINOIS,ZKC,RP,SPI*VORTAC*234.56/5.63
TEDCO,36.929825,-96.9974111111111,OKLAHOMA,ZKC,RNAV,07/08/2008
TEDDD,38.53662222222222,-89.5750861111111,ILLINOIS,ZKC,RNAV,08/09/2012
TEEBE,38.360172222222225,-90.09472222222222,ILLINOIS,ZKC,RNAV,11/28/2012
TEEKA,39.27721944444444,-94.56420555555555,MISSOURI,ZKC,RP,UQY*LD*094.14/7.85
TENCU,39.996658333333336,-89.48404444444445,ILLINOIS,ZKC,RNAV,08/24/2005
TEPIE,37.33540555555556,-92.04452222222223,MISSOURI,ZKC,RNAV,01/29/2002
TEPOE,36.40295,-97.90954722222223,OKLAHOMA,ZKC,MR,END*VORTAC*002.00/3.50
TERKY,39.13215,-94.75304166666666,KANSAS,ZKC,RP,PVL*LD*S CRS/10.92
