name,latitude,longitude,state,artcc,type,updated
TABIO,42.66203888888889,-117.57505555555555,OREGON,ZLC,RNAV,01/12/2007
TABLL,38.665641666666666,-113.17643055555556,UTAH,ZLC,RNAV,09/21/2014
TADOE,43.483850000000004,-114.27623333333334,IDAHO,ZLC,RNAV,01/10/2001
TAGOE,46.77914722222222,-113.88291666666666,MONTANA,ZLC,RP,MSO*VOR/DME*120.01/11.32
TAGUY,48.36689444444445,-114.1965388888889,MONTANA,ZLC,RNAV,04/27/2009
TANOY,42.93420277777778,-112.95760833333334,IDAHO,ZLC,RP,PIH*VOR/DME*268.97/14.00
TASSE,46.06601388888889,-108.97024166666667,MONTANA,ZLC,RP,BIL*VORTAC*303.00/21.17
TATIE,44.84704444444445,-116.10033055555554,IDAHO,ZLC,RNAV,08/10/2011
TAUTT,43.144083333333334,-115.488075,IDAHO,ZLC,RNAV,08/05/2014
TAVTE,39.297125,-112.50273055555556,UTAH,ZLC,RNAV,07/06/2011
TAYTR,43.19466944444444,-115.43969166666668,IDAHO,ZLC,RNAV,08/05/2014
TEALZ,41.78068888888889,-112.47461666666666,UTAH,ZLC,RP,MLD*VOR/DME*165.39
TEBOX,40.97773611111111,-112.12753888888888,UTAH,ZLC,RP,FFU*VORTAC*332.60/43.00
TEERX,45.74755833333334,-111.64946388888889,MONTANA,ZLC,RNAV,05/09/2011
TEFFS,47.44056666666666,-111.37285833333333,MONTANA,ZLC,RNAV,07/13/2017
TEGTE,45.00213888888889,-117.99268333333333,OREGON,ZLC,RNAV,01/11/2013
TEJIY,46.427375,-106.27568611111111,MONTANA,ZLC,RNAV,07/11/2011
TEMAE,44.084719444444445,-117.04856944444444,OREGON,ZLC,RNAV,06/12/2008
TEPSE,47.777341666666665,-114.14454166666667,MONTANA,ZLC,RNAV,07/26/2004
TERRE,43.73363055555556,-112.34037222222221,IDAHO,ZLC,RP,IDA*VOR/DME*302.00
TERRY,46.72121666666667,-105.29573611111111,MONTANA,ZLC,MR,MLS*VOR/DME*038.00/34.00
TESSA,43.627338888888886,-116.14640555555556,IDAHO,ZLC,RNAV,10/20/2015
TESTR,47.433588888888885,-111.43650000000001,MONTANA,ZLC,RNAV,06/17/2011
TETBY,45.82400833333334,-111.33374722222221,MONTANA,ZLC,RNAV,06/22/2010
TETDO,43.782202777777776,-111.06899444444444,IDAHO,ZLC,RNAV,03/07/2005
TEVOE,40.70124722222223,-115.23623888888889,NEVADA,ZLC,RNAV,04/18/2016
THAYN,42.88222777777778,-110.98081944444445,WYOMING,ZLC,RNAV,09/14/2004
THESE,45.95044166666667,-111.54086111111111,MONTANA,ZLC,RP,HIA*VOR/DME*060.36/26.87
THISL,40.13642222222222,-111.21418333333334,UTAH,ZLC,RP,MTU*VOR/DME*255.47/50.00
TICUS,46.83590277777778,-111.80827222222221,MONTANA,ZLC,RP,HLN*VORTAC*007.50/15.00
TIDHU,43.13793888888889,-108.68003333333334,WYOMING,ZLC,RNAV,01/08/2010
TIFUL,40.88914166666667,-111.96209166666667,UTAH,ZLC,RP,TCH*VORTAC*005.15
TIHQI,43.82689444444445,-111.09677777777777,IDAHO,ZLC,RNAV,12/19/2011
TINRE,42.149905555555556,-112.14332777777778,IDAHO,ZLC,RP,MLD*VOR/DME*085.21/14.06
TIPTN,40.84166666666667,-113.83333333333333,UTAH,ZLC,RNAV,03/26/2018
TIRAE,42.49812222222222,-114.73601388888889,IDAHO,ZLC,RP,TWF*VORTAC*257.80/11.00
TIVPE,39.529313888888886,-110.80355,UTAH,ZLC,RP,PUC*VOR/DME*193.67/5.00
TIYOL,45.64202777777778,-110.86887499999999,MONTANA,ZLC,RNAV,06/22/2010
TIYUT,47.84192222222222,-114.47277222222222,MONTANA,ZLC,RNAV,04/27/2009
TMPLE,39.26803611111111,-111.69535833333333,UTAH,ZLC,RNAV,04/18/2017
TNKUS,41.793638888888886,-114.87744444444444,NEVADA,ZLC,RNAV,01/13/2014
TOCUD,44.06465277777777,-110.13844444444445,WYOMING,ZLC,RP,DNW*VOR/DME*015.99/16.55
TOCYU,43.594375,-111.98638055555556,IDAHO,ZLC,RNAV,05/30/2006
TOFBO,41.626583333333336,-109.34505555555555,WYOMING,ZLC,RP,OCS*VOR/DME*265.47/15.00
TOGTE,41.27564722222222,-112.3366861111111,UTAH,ZLC,RNAV,08/09/2005
