name,latitude,longitude,state,artcc,type,updated
TAANA,20.943002777777778,-70.97385833333334,,ZMA,RP,PTA*VOR/DME*351.13/74.33
TACUY,26.33107222222222,-80.15915000000001,FLORIDA,ZMA,RNAV,06/13/2014
TADPO,24.00043888888889,-81.21699722222222,FLORIDA,ZMA,RP,FIS*NDB*140.27
TAGJO,25.832769444444445,-81.53891666666667,FLORIDA,ZMA,RNAV,11/10/2009
TANAH,26.31929722222222,-80.17188888888889,FLORIDA,ZMA,RNAV,08/28/2015
TANIA,24.030094444444444,-79.52757777777778,OFFSHORE ATLANTIC,ZMA,RP,VKZ*VOR/DME*165.49/108.51
TANUY,24.52614722222222,-82.09870833333333,FLORIDA,ZMA,MR,NQX*TACAN*268.00/23.00
TARPO,27.785044444444445,-79.57458055555556,FLORIDA,ZMA,RP,VKZ*VOR/DME*018.23/125.56
TARTY,26.79713888888889,-80.76237222222223,FLORIDA,ZMA,RNAV,09/01/2005
TATUW,27.72158888888889,-80.36754444444443,FLORIDA,ZMA,RNAV,08/09/2012
TAVDE,24.425569444444445,-81.78986388888889,FLORIDA,ZMA,MW,02/10/2016
TAZER,24.794008333333334,-80.75117777777778,FLORIDA,ZMA,RNAV,08/15/2017
TBIRD,27.156180555555554,-80.46937222222222,FLORIDA,ZMA,RP,PHK*VOR/DME*028.00
TBIWX,27.155277777777776,-80.48583333333333,FLORIDA,ZMA,RNAV,01/28/2016
TEDAE,28.215008333333333,-80.14075277777779,OFFSHORE ATLANTIC,ZMA,MR,COF*TACAN*100.00/25.00
TEFDU,26.215102777777776,-81.70809722222222,FLORIDA,ZMA,RNAV,11/05/2009
TEGUC,27.488355555555557,-80.3139,FLORIDA,ZMA,RNAV,07/11/2012
TEMDE,24.5578,-81.57683888888889,FLORIDA,ZMA,RNAV,02/10/2016
TEMPE,28.102911111111112,-81.51549444444444,FLORIDA,ZMA,RP,ORL*VORTAC*200.00/28.00
TENBE,28.25216111111111,-80.60233333333333,FLORIDA,ZMA,MR,COF*TACAN*036.96/1.00
TEYUK,26.291697222222226,-80.32618055555555,FLORIDA,ZMA,RP,VKZ*VOR/DME*348.00/33.60
THNDR,26.627322222222222,-80.8665861111111,FLORIDA,ZMA,RP,LBV*VORTAC*111.97
THNWX,26.416666666666668,-80.72916666666667,FLORIDA,ZMA,RNAV,01/28/2016
THUMP,24.430222222222223,-82.04946944444444,FLORIDA,ZMA,RP,EYW*VORTAC*234.71/16.50
TICCO,28.516805555555553,-80.798,FLORIDA,ZMA,RP,ORL*VORTAC*093.00
TICOG,26.292780555555556,-80.55958888888888,FLORIDA,ZMA,RNAV,08/01/2006
TIGAR,24.946008333333335,-81.49161111111111,FLORIDA,ZMA,RP,EYW*VORTAC*037.00/27.36
TIKIY,27.497961111111113,-80.48109444444445,FLORIDA,ZMA,RP,TRV*VORTAC*184.56
TILDE,26.2106,-81.84060277777778,FLORIDA,ZMA,RNAV,07/07/2014
TINKE,25.790650000000003,-80.204175,FLORIDA,ZMA,RP,VKZ*VOR/DME*314.72
TINKR,28.323055555555555,-81.42416666666666,FLORIDA,ZMA,RNAV,10/24/2007
TINKY,24.980119444444444,-78.39368333333334,OFFSHORE ATLANTIC,ZMA,RP,ZBV*VORTAC*135.30/65.37
TIOFF,26.082213888888887,-81.72964722222223,FLORIDA,ZMA,RNAV,11/11/2009
TIRTE,26.58525,-81.26590833333333,FLORIDA,ZMA,RP,RSW*VORTAC*085.00/27.63
TOMAZ,21.308941666666666,-71.84724444444444,,ZMA,RP,PTA*VOR/DME*331.41/117.26
TOMEE,27.1,-79.41666666666667,OFFSHORE ATLANTIC,ZMA,RNAV,05/11/2009
TONYJ,27.728194444444444,-82.70786111111111,FLORIDA,ZMA,RNAV,01/25/2013
TOOMR,26.849994444444444,-79.63680277777779,OFFSHORE ATLANTIC,ZMA,RP,ZBV*VORTAC*349.00/70.99
TOPPR,27.126308333333334,-80.0252611111111,FLORIDA,ZMA,RP,PBI*VORTAC*010.00/26.90
TOTNY,28.243094444444445,-81.52325555555555,FLORIDA,ZMA,RNAV,08/05/2012
TOUCH,27.878775,-83.15017777777778,FLORIDA,ZMA,RP,CTY*VORTAC*185.00/103.09
TOWES,25.996908333333334,-80.04068611111111,FLORIDA,ZMA,RNAV,10/05/2011
TPSTR,27.83529722222222,-80.6469,FLORIDA,ZMA,RP,MLB*VOR/DME*189.18/16.17
TRAMP,28.170325000000002,-81.31936388888889,FLORIDA,ZMA,RP,OJP*LD*185.46/16.75
TRIPL,27.04964166666667,-79.47787777777778,FLORIDA,ZMA,RP,OMN*VORTAC*146.88/160.31
TRITN,26.416977777777777,-79.809825,FLORIDA,ZMA,RP,VKZ*VOR/DME*029.00/43.93
TROPC,26.423933333333334,-81.9272388888889,FLORIDA,ZMA,RP,RSW*LD*238.10/12.60
TROTR,21.802777777777777,-72.79694444444445,OFFSHORE ATLANTIC,ZMA,RP,GTK*VORTAC*291.42/95.43
TRPPL,26.021774999999998,-80.09039999999999,FLORIDA,ZMA,RNAV,07/19/2011
TRUBE,26.192130555555554,-80.236125,FLORIDA,ZMA,RP,FLL*VOR/DME*337.99
TUHWU,25.783925,-80.36681388888888,FLORIDA,ZMA,RNAV,06/16/2016
TUNNE,26.846244444444444,-80.07365555555555,FLORIDA,ZMA,RNAV,01/22/2007
TUNPY,28.51386111111111,-80.89734444444446,FLORIDA,ZMA,RNAV,04/24/2014
TURBO,26.175316666666667,-79.78750555555555,OFFSHORE ATLANTIC,ZMA,RP,DHP*VORTAC*057.39/37.76
TURKE,25.50340277777778,-80.3629861111111,FLORIDA,ZMA,MR,HST*TACAN*054.00/1.20
TURPS,26.679622222222225,-79.74672222222222,FLORIDA,ZMA,RP,PBI*VORTAC*093.00/18.26
TURWX,26.522222222222222,-79.51138888888889,OFFSHORE ATLANTIC,ZMA,RNAV,06/30/2016
TUXXI,27.317975,-80.13643888888889,FLORIDA,ZMA,RP,PBI*VORTAC*359.00/38.26
TUYVO,26.37230277777778,-79.92965000000001,FLORIDA,ZMA,RNAV,06/01/2006
TWNKY,24.494241666666667,-81.62598055555554,FLORIDA,ZMA,MR,NQX*TACAN*155.00/6.00
TWNNS,24.816275,-80.55843055555555,FLORIDA,ZMA,RP,EYW*VORTAC*077.26
TYNEE,26.797405555555557,-82.28406944444444,FLORIDA,ZMA,RP,LBV*VORTAC*267.00
AABER,26.072777777777777,-81.33,FLORIDA,ZMA,RNAV,02/11/2010
ACIPU,27.441130555555556,-82.60752222222222,FLORIDA,ZMA,RNAV,07/16/2008
ACMEE,22.174377777777778,-75.05638055555555,OFFSHORE ATLANTIC,ZMA,RP,05/21/1997
ACMOD,28.369966666666667,-80.77695,FLORIDA,ZMA,RNAV,02/17/2006
ACRUZ,24.0,-84.57818888888889,OFFSHORE GULF,ZMA,RNAV,08/31/2010
ADGAY,25.869155555555555,-80.21499444444444,FLORIDA,ZMA,RNAV,10/05/2011
ADKOQ,26.272177777777777,-79.53100555555555,OFFSHORE ATLANTIC,ZMA,RNAV,08/01/2006
ADNIL,27.77461111111111,-82.58419166666665,FLORIDA,ZMA,MR,MCF*TACAN*220.00/6.40
ADOOR,29.400074999999998,-78.55569444444444,FLORIDA,ZMA,RP,ORL*VORTAC*070.00/155.00
ADOTE,26.07661388888889,-80.10924722222222,FLORIDA,ZMA,RNAV,12/13/2001
AGLER,25.805658333333334,-80.18066111111112,FLORIDA,ZMA,RP,VKZ*VOR/DME*340.18
AGOYA,26.1489,-80.75574444444445,FLORIDA,ZMA,RNAV,05/30/2006
AGUSE,27.99237777777778,-82.12682222222222,FLORIDA,ZMA,MR,MCF*TACAN*073.00/22.00
AHABB,26.812472222222222,-80.00577222222222,FLORIDA,ZMA,RNAV,11/10/2009
AHERN,27.177655555555557,-80.03104722222223,FLORIDA,ZMA,RNAV,10/26/2009
AHJUP,27.87901388888889,-81.85848333333333,FLORIDA,ZMA,RNAV,03/26/2009
AHORE,26.868980555555556,-81.20162777777779,FLORIDA,ZMA,RNAV,12/29/2008
AIRBS,27.995675000000002,-82.10587222222222,FLORIDA,ZMA,RP,LAL*VORTAC*275.65/4.92
AIRVA,27.085627777777777,-81.88273055555555,FLORIDA,ZMA,RNAV,03/31/2008
AKACA,28.005736111111112,-81.71027777777778,FLORIDA,ZMA,RNAV,03/26/2009
ALBBE,20.416666666666668,-72.24880555555556,,ZMA,RP,GTK*VORTAC*233.85/87.58
ALERI,23.009744444444443,-68.60858888888889,OFFSHORE ATLANTIC,ZMA,RNAV,04/04/2008
ALLSO,27.649058333333333,-81.38646111111112,FLORIDA,ZMA,RP,LAL*VORTAC*120.00/39.00
ALROE,27.78641388888889,-83.00805555555556,FLORIDA,ZMA,RNAV,11/19/2010
ALUTE,25.40588611111111,-74.53127222222223,OFFSHORE ATLANTIC,ZMA,RNAV,04/14/2008
AMBAZ,27.996100000000002,-81.96429722222223,FLORIDA,ZMA,RP,LAL*VORTAC*076.29/2.70
AMBIS,23.731624999999998,-76.88019444444444,,ZMA,RP,ZBV*VORTAC*135.30/176.95
AMEBE,28.26518888888889,-81.32502222222222,FLORIDA,ZMA,RNAV,12/31/2014
AMFAP,26.686908333333335,-80.14179722222222,FLORIDA,ZMA,RP,PBI*VORTAC*280.87/3.00
AMFIJ,26.71483333333333,-80.13887222222223,FLORIDA,ZMA,RP,PBI*VORTAC*309.49/3.50
AMICI,28.387313888888887,-81.29537499999999,FLORIDA,ZMA,RP,DDO*LD*185.47/3.06
AMNDA,27.09998611111111,-79.43637777777778,OFFSHORE ATLANTIC,ZMA,RNAV,04/08/2010
AMNUK,26.68733888888889,-80.012525,FLORIDA,ZMA,CN,01/26/2001
AMREW,26.65451111111111,-80.07263611111111,FLORIDA,ZMA,RP,PBI*VORTAC*157.00/1.70
AMSAW,27.435391666666668,-82.10139444444444,FLORIDA,ZMA,RNAV,09/02/2008
AMZAR,26.660608333333332,-79.54789444444444,OFFSHORE ATLANTIC,ZMA,RNAV,09/05/2014
ANAKE,26.846319444444443,-80.71448055555555,FLORIDA,ZMA,CN,01/26/2001
ANAZE,27.850708333333333,-82.53285277777778,FLORIDA,ZMA,RP,LAL*VORTAC*252.74
ANDRO,28.04918055555556,-81.88568611111111,FLORIDA,ZMA,RP,OCF*VORTAC*165.00
ANEMO,26.450833333333332,-80.41166666666668,FLORIDA,ZMA,RNAV,04/23/2010
ANFAN,27.433180555555555,-82.61780555555555,FLORIDA,ZMA,CN,01/26/2001
ANFOW,27.440727777777777,-82.4968638888889,FLORIDA,ZMA,CN,01/26/2001
ANGEE,27.467936111111108,-80.14835000000001,FLORIDA,ZMA,RP,PHK*VOR/DME*035.22
ANGLL,27.0,-77.56944444444444,,ZMA,RP,ZQA*VOR/DME*002.80/118.30
