name,latitude,longitude,state,artcc,type,updated
TABBY,34.0972,-91.94359722222222,ARKANSAS,ZME,RP,PBF*VOR/DME*181.53/9.00
TACIT,36.201505555555556,-94.40439444444445,ARKANSAS,ZME,RP,DAK*VOR/DME*306.45
TACNU,33.54219166666667,-90.208275,MISSISSIPPI,ZME,RNAV,10/26/2005
TACOC,35.14256944444445,-86.61908055555556,TENNESSEE,ZME,RNAV,05/06/2016
TACOS,36.03656111111111,-90.54183888888889,ARKANSAS,ZME,RNAV,12/22/2003
TADAW,34.71028888888889,-92.46441388888888,ARKANSAS,ZME,RP,LIT*VORTAC*273.00/14.18
TADME,36.246877777777776,-94.48365277777778,ARKANSAS,ZME,RNAV,08/08/2007
TAFTE,34.859411111111115,-91.72699444444444,ARKANSAS,ZME,RP,LIT*VORTAC*058.97/24.92
TAGDE,36.64620277777778,-87.32770277777777,KENTUCKY,ZME,MW,04/08/2009
TAGLE,36.07610555555556,-89.67518333333334,TENNESSEE,ZME,RNAV,07/21/2008
TAGSE,36.328625,-94.20265833333333,ARKANSAS,ZME,RP,RZC*VORTAC*317.35/6.31
TALLO,34.70596388888889,-87.51177222222222,ALABAMA,ZME,RNAV,06/15/2012
TAMBY,34.625172222222226,-87.27010277777778,ALABAMA,ZME,RP,MSL*VORTAC*113.00/12.00
TAMMS,37.23846388888889,-89.23370833333334,ILLINOIS,ZME,RP,MWA*VOR/DME*195.00
TAMMY,34.61751944444445,-90.60835277777777,ARKANSAS,ZME,RP,MEM*VORTAC*231.54/39.00
TANDS,36.53693333333333,-86.56351388888889,TENNESSEE,ZME,RP,LVT*VOR/DME*270.00
TANNE,34.76074444444444,-86.98736944444444,ALABAMA,ZME,RP,DCU*VOR/DME*341.65
TARSY,36.884883333333335,-91.90255,MISSOURI,ZME,WP,10/18/1995
TASEE,33.92364166666666,-87.803525,ALABAMA,ZME,RNAV,06/06/2011
TASOE,36.139180555555555,-89.83550833333332,MISSOURI,ZME,RNAV,03/26/2008
TATOC,34.806013888888884,-88.58855,MISSISSIPPI,ZME,RNAV,06/20/2011
TAVUY,36.39395833333333,-86.39144166666668,TENNESSEE,ZME,RNAV,09/15/2008
TAXJU,34.80770277777778,-91.82976666666666,ARKANSAS,ZME,RNAV,06/18/2010
TAXOE,36.66345833333333,-89.85721944444444,MISSOURI,ZME,RP,MAW*VORTAC*018.95/7.00
TAYUV,34.563199999999995,-92.70798333333333,ARKANSAS,ZME,RP,LIT*VORTAC*250.44/27.00
TAZMO,36.051199999999994,-85.78874722222223,TENNESSEE,ZME,RNAV,09/17/2012
TCKKS,36.42545833333333,-86.92185555555557,TENNESSEE,ZME,RNAV,05/28/2014
TEACH,36.44356666666666,-87.15519722222223,TENNESSEE,ZME,RP,BWG*VORTAC*227.97/45.00
TEARS,35.84575277777778,-86.41249444444445,TENNESSEE,ZME,RNAV,05/28/2014
TECUG,35.281527777777775,-86.06238055555555,TENNESSEE,ZME,RNAV,06/16/2008
TECUK,33.575522222222226,-90.67923333333334,MISSISSIPPI,ZME,RNAV,11/30/2012
TEEUP,36.37580277777778,-93.91736944444445,ARKANSAS,ZME,RP,EOS*VOR/DME*131.00
TEFTO,35.734141666666666,-85.63498055555556,TENNESSEE,ZME,RNAV,04/27/2018
