name,latitude,longitude,state,artcc,type,updated
TABNE,44.319833333333335,-88.256525,WISCONSIN,ZMP,RNAV,04/09/2014
TACUC,45.09175277777778,-87.67099166666667,WISCONSIN,ZMP,RNAV,06/11/2009
TADGE,40.373625,-96.82662499999999,NEBRASKA,ZMP,RNAV,05/23/2011
TAGUC,48.53675833333333,-92.9448888888889,MINNESOTA,ZMP,RP,INL*VOR/DME*089.25/18.45
TAMIE,45.79171111111111,-95.30548055555555,MINNESOTA,ZMP,RP,AXN*VOR/DME*190.01
TAMMR,46.892633333333336,-95.71567222222222,MINNESOTA,ZMP,RNAV,06/16/2017
TAPNN,46.849066666666666,-99.70327222222222,NORTH DAKOTA,ZMP,RP,BIS*VOR/DME*070.12/40.00
TARBE,48.55940555555555,-94.43059722222223,MINNESOTA,ZMP,RNAV,04/07/2010
TARKK,44.539291666666664,-92.99010277777778,MINNESOTA,ZMP,RNAV,03/19/2012
TARUE,46.95434166666667,-92.01013611111111,MINNESOTA,ZMP,RNAV,05/17/2011
TASKY,41.504733333333334,-95.89357500000001,IOWA,ZMP,RP,PPY*LD*358.21/12.99
TATOE,46.088058333333336,-84.33719444444444,MICHIGAN,ZMP,RP,PLN*VORTAC*032.41/30.68
TATRY,44.98330555555556,-83.45963611111111,MICHIGAN,ZMP,RNAV,08/31/2015
TAXEE,44.702580555555556,-92.49265555555556,WISCONSIN,ZMP,RP,GEP*VORTAC*119.00/46.00
TAYUD,48.67594722222222,-93.73925833333334,,ZMP,RNAV,02/14/2008
TAYUY,44.741530555555556,-89.56708888888889,WISCONSIN,ZMP,RNAV,07/13/2017
TBOBB,41.208675,-95.84345277777777,IOWA,ZMP,RNAV,08/15/2012
TEBBO,43.659194444444445,-91.14087777777779,WISCONSIN,ZMP,RNAV,01/15/2004
TEBKY,48.84097777777778,-98.67390833333334,NORTH DAKOTA,ZMP,RNAV,02/04/2010
TECCI,44.94273611111111,-91.95699722222223,WISCONSIN,ZMP,RNAV,02/12/2008
TECOL,46.31082222222222,-89.38415555555557,MICHIGAN,ZMP,RNAV,05/02/2005
TECUD,43.54846666666666,-97.86173055555555,SOUTH DAKOTA,ZMP,RP,MHE*VOR/DME*143.75/15.71
TECUY,43.779605555555555,-92.29783333333333,MINNESOTA,ZMP,RP,RST*VOR/DME*085.76
TEGAE,47.65201111111111,-95.15182222222222,MINNESOTA,ZMP,RNAV,03/03/2009
TEGKU,43.46170555555556,-95.85955,IOWA,ZMP,RNAV,04/19/2012
TEGTY,42.11130555555556,-95.83392777777777,IOWA,ZMP,RNAV,02/02/2010
TEKLE,43.62111111111111,-96.6206861111111,SOUTH DAKOTA,ZMP,RNAV,04/24/2017
TEKUE,44.05326944444444,-91.50922222222222,WISCONSIN,ZMP,RNAV,04/07/2008
TELUE,46.474944444444446,-91.6631138888889,WISCONSIN,ZMP,RNAV,06/10/2002
TEPAW,45.100275,-93.2267138888889,MINNESOTA,ZMP,RNAV,03/23/2012
TEPUE,45.01313888888889,-91.45516388888889,WISCONSIN,ZMP,RP,EAU*VORTAC*004.17/7.00
TERNR,44.356475,-98.86319999999999,SOUTH DAKOTA,ZMP,RNAV,07/06/2011
TERPS,41.066652777777776,-95.82305833333334,IOWA,ZMP,MR,OFF*TACAN*/4.62
TERTL,47.571219444444445,-100.9965611111111,NORTH DAKOTA,ZMP,RP,MOT*VORTAC*151.00/43.00
TESEE,45.685075,-94.98513333333334,MINNESOTA,ZMP,RP,AXN*VOR/DME*140.57/19.41
TESHE,44.573033333333335,-98.37511388888888,SOUTH DAKOTA,ZMP,RNAV,07/08/2009
TETEE,44.80376944444444,-89.52519166666667,WISCONSIN,ZMP,RNAV,03/22/2011
TETUY,44.96322222222223,-97.15079722222222,SOUTH DAKOTA,ZMP,RP,ATY*LD*354.24/2.30
TEVPE,49.02256111111111,-95.67357222222223,,ZMP,RNAV,02/25/2016
TEVUW,40.66800833333333,-97.4458638888889,NEBRASKA,ZMP,RP,GRI*VOR/DME*108.30/43.88
TEVUY,44.353183333333334,-85.1743888888889,MICHIGAN,ZMP,RNAV,04/28/2009
TEYOU,43.291666666666664,-96.27361111111111,IOWA,ZMP,RNAV,09/16/2016
TEYVU,40.74711666666667,-98.08356388888889,NEBRASKA,ZMP,RNAV,12/17/2012
TEYYU,46.36069166666667,-94.21271111111112,MINNESOTA,ZMP,RNAV,05/02/2007
TEZOB,42.16531944444444,-94.50136666666667,IOWA,ZMP,RNAV,08/19/2010
THATS,45.10639444444445,-91.4726888888889,WISCONSIN,ZMP,RP,GEP*VORTAC*085.00/80.77
THAVN,45.61088055555555,-97.6478,SOUTH DAKOTA,ZMP,RNAV,11/29/2012
THERM,46.19841666666667,-98.60542222222222,NORTH DAKOTA,ZMP,RNAV,07/13/2015
THEWS,40.60900277777778,-96.7633,NEBRASKA,ZMP,RP,BIE*VOR*351.77
THORE,44.50995277777778,-100.1864138888889,SOUTH DAKOTA,ZMP,RP,PIR*VORTAC*340.70/7.00
TIBUC,44.275797222222224,-96.54934166666666,SOUTH DAKOTA,ZMP,RNAV,03/14/2013
TICKT,42.89509722222222,-93.983425,IOWA,ZMP,RP,FOD*VORTAC*031.84/21.90
TICTO,40.63666388888889,-95.07726944444444,IOWA,ZMP,RNAV,12/19/2009
TICUC,43.50733888888889,-94.22422222222222,MINNESOTA,ZMP,RP,FRM*VOR/DME*/12.00
TICUV,42.77161111111111,-93.97812777777779,IOWA,ZMP,RP,FOD*VORTAC*048.41/17.00
TIDDU,44.87797777777778,-85.35976666666666,MICHIGAN,ZMP,RP,GLR*VOR/DME*260.12
TIDKE,44.33397777777778,-91.96028611111112,MINNESOTA,ZMP,RNAV,04/07/2008
TIDME,44.47705833333333,-88.49958333333333,WISCONSIN,ZMP,RNAV,11/25/2005
TIDMY,42.856075000000004,-94.10586388888888,IOWA,ZMP,RNAV,06/21/2013
TIDRE,44.74474722222222,-91.51209166666666,WISCONSIN,ZMP,RNAV,09/04/2010
TIETN,44.85529722222223,-93.4343138888889,MINNESOTA,ZMP,RNAV,03/17/2015
TIGHE,45.897,-94.1297111111111,MINNESOTA,ZMP,RNAV,01/27/2015
TILER,46.084808333333335,-95.48391111111111,MINNESOTA,ZMP,RP,MOX*VOR/DME*028.00
TILTH,41.56469444444444,-93.70235277777778,IOWA,ZMP,RP,VGU*LD*311.34/3.35
TIMER,48.21223333333334,-100.8212361111111,NORTH DAKOTA,ZMP,MR,MIB*TACAN*109.00/25.00
TIMMI,48.129555555555555,-97.04061944444445,NORTH DAKOTA,ZMP,RP,GFK*VOR/DME*020.00/12.00
TIMMO,40.65739444444444,-96.1401388888889,NEBRASKA,ZMP,RP,LNK*VORTAC*111.02
TIMMR,46.38041388888889,-100.90827777777778,NORTH DAKOTA,ZMP,RP,BIS*VOR/DME*191.80/25.00
TIMTE,44.84631944444445,-92.66369166666668,WISCONSIN,ZMP,RNAV,01/21/2011
TIPDE,44.619883333333334,-92.62377777777778,MINNESOTA,ZMP,RNAV,04/24/2008
TIROC,47.32273333333334,-94.79416388888889,MINNESOTA,ZMP,RNAV,06/29/2017
TIRRE,44.407466666666664,-92.21017222222223,MINNESOTA,ZMP,RNAV,04/24/2008
TIRUY,41.56426111111111,-98.85727222222222,NEBRASKA,ZMP,RNAV,03/16/2009
TISIE,44.26781666666667,-88.81300833333333,WISCONSIN,ZMP,RNAV,03/31/2010
TISME,45.52055,-91.74518333333333,WISCONSIN,ZMP,RNAV,12/28/2007
TITPE,44.28910555555555,-93.22634166666667,MINNESOTA,ZMP,RNAV,02/11/2008
TITUE,48.619277777777775,-95.56888888888888,MINNESOTA,ZMP,RP,ROX*VOR/DME*155.45/15.00
TIVDE,44.377183333333335,-89.35515,WISCONSIN,ZMP,RNAV,12/21/2009
TIVNY,43.11879722222222,-92.25700555555555,IOWA,ZMP,RNAV,11/06/2012
TIVRE,41.00956388888889,-95.98179444444445,NEBRASKA,ZMP,RNAV,01/22/2007
TIYVO,41.35165,-97.36655833333333,NEBRASKA,ZMP,RNAV,10/02/2009
TIZTO,48.17348611111111,-100.98291388888889,NORTH DAKOTA,ZMP,RNAV,12/18/2009
TIZZI,44.31403333333333,-91.508125,WISCONSIN,ZMP,RNAV,07/13/2010
TLBAT,45.57530555555556,-94.34087777777778,MINNESOTA,ZMP,RP,DWN*VORTAC*002.24/29.66
TMBER,41.363641666666666,-95.8942638888889,IOWA,ZMP,RNAV,08/15/2012
TNDRA,44.439188888888886,-88.24212777777778,WISCONSIN,ZMP,RNAV,08/26/2009
TOBBO,44.290588888888884,-93.35626666666666,MINNESOTA,ZMP,RNAV,02/11/2008
TODDO,41.84232222222222,-95.35872222222221,IOWA,ZMP,RP,OVR*VORTAC*014.70/43.92
TODEE,45.91163888888889,-94.10623888888888,MINNESOTA,ZMP,MR,RYM*LD*132.29/15.80
TOEGO,47.69215,-92.91698611111111,MINNESOTA,ZMP,RP,HIB*VOR/DME*337.80/25.00
TOGQO,42.70794444444445,-94.00646944444445,IOWA,ZMP,RNAV,10/14/2009
TOLOY,45.997166666666665,-89.04033055555556,WISCONSIN,ZMP,RNAV,05/02/2005
TOLUE,41.051824999999994,-93.70766666666667,IOWA,ZMP,RNAV,05/24/2011
TOMBE,44.0929,-88.3167,WISCONSIN,ZMP,RNAV,03/31/2010
TOMMI,42.45914444444445,-96.46361388888889,NEBRASKA,ZMP,RP,SUX*VORTAC*/9.27
TONCA,44.91599444444444,-93.63375277777779,MINNESOTA,ZMP,RNAV,12/10/2009
TONEE,44.70174166666667,-93.07813333333333,MINNESOTA,ZMP,RNAV,11/25/2016
TONKE,40.340897222222225,-96.78299722222222,NEBRASKA,ZMP,MR,LNK*VORTAC*354.00/35.00
TONNA,44.07268055555556,-93.15635555555556,MINNESOTA,ZMP,RP,RST*VOR/DME*300.83/29.84
TONOC,45.06321111111111,-91.63663055555556,WISCONSIN,ZMP,RP,EAU*VORTAC*321.93/12.00
TOQIC,40.80381111111111,-93.89741388888889,IOWA,ZMP,RNAV,12/04/2000
TORGY,44.64357777777778,-94.37529166666666,MINNESOTA,ZMP,RNAV,01/13/2015
TOSEE,45.51916666666666,-86.50222222222222,MICHIGAN,ZMP,RNAV,08/27/2001
TOSLY,47.555972222222216,-98.30514444444444,NORTH DAKOTA,ZMP,RNAV,09/03/2010
TOSME,44.31132777777778,-94.57827777777777,MINNESOTA,ZMP,RNAV,04/07/2008
TOSRE,47.362144444444446,-102.72652777777778,NORTH DAKOTA,ZMP,RNAV,09/29/2017
TOTBE,45.33422222222222,-91.8911138888889,WISCONSIN,ZMP,RNAV,03/05/2008
TOTRE,48.04805277777778,-99.00856944444445,NORTH DAKOTA,ZMP,RNAV,11/04/2013
TOTUE,44.83397222222222,-87.15159722222222,WISCONSIN,ZMP,RNAV,09/23/2004
TOVGE,40.092286111111115,-96.62376388888889,NEBRASKA,ZMP,RNAV,01/30/2011
TOVLE,46.58388333333333,-90.97271944444445,WISCONSIN,ZMP,RNAV,03/21/2013
TOVUY,42.326436111111114,-96.28885,IOWA,ZMP,RNAV,01/03/2009
TOWED,45.841230555555555,-95.8226111111111,MINNESOTA,ZMP,RNAV,09/06/2013
TOWMA,43.94472222222222,-90.6086111111111,WISCONSIN,ZMP,RP,DLL*VORTAC*300.00/44.00
TOXLU,41.02928611111111,-98.0186138888889,NEBRASKA,ZMP,RNAV,05/26/2011
