name,latitude,longitude,state,artcc,type,updated
TAFFI,39.54351111111111,-76.62760833333333,MARYLAND,ZNY,RP,BAL*VORTAC*015.00/22.38
TALLI,41.31711111111112,-75.11199166666665,PENNSYLVANIA,ZNY,RP,LVZ*VORTAC*094.00/26.25
TALSU,24.93558611111111,-65.78789166666667,OFFSHORE ATLANTIC,ZNY,RNAV,06/09/2008
TALTE,40.764808333333335,-74.12253333333332,NEW JERSEY,ZNY,RP,JNN*LD*038.83/4.00
TANBY,40.15033333333333,-75.09714166666666,PENNSYLVANIA,ZDC,MW,01/27/2009
TARMO,23.5,-63.05257777777778,OFFSHORE ATLANTIC,ZNY,RNAV,02/07/2008
TASBE,40.952244444444446,-76.72964166666667,PENNSYLVANIA,ZNY,RNAV,12/11/2017
TASNI,30.900311111111108,-69.22494444444445,OFFSHORE ATLANTIC,ZNY,RNAV,05/27/2008
TATRE,40.764133333333334,-74.8033,NEW JERSEY,ZNY,RNAV,03/13/2017
TATVE,40.287219444444446,-75.00709722222223,PENNSYLVANIA,ZDC,RP,ARD*VOR/DME*304.00/5.00
TAYLO,39.66332777777777,-76.46199166666666,MARYLAND,ZNY,RNAV,06/16/2011
TBERN,40.80518333333333,-74.13592777777778,NEW JERSEY,ZNY,RNAV,11/20/2013
TCKER,33.02815,-64.09045833333333,OFFSHORE ATLANTIC,ZNY,RNAV,01/10/2017
TECUM,40.91238055555555,-76.54899444444445,PENNSYLVANIA,ZNY,RP,MIP*VORTAC*150.51/8.50
TECUT,40.47998333333334,-74.91030277777779,NEW JERSEY,ZNY,RNAV,09/29/2006
TEDIY,33.72046111111111,-65.37500833333333,OFFSHORE ATLANTIC,ZNY,RNAV,01/10/2017
TELEX,40.71179722222222,-73.90968055555557,NEW YORK,ZNY,RP,LGA*VOR/DME*215.49
TELLO,40.93095833333333,-74.04116666666667,NEW JERSEY,ZNY,RP,TEB*VOR/DME*022.01/5.00
TETER,40.866550000000004,-74.06286666666666,NEW JERSEY,ZNY,RP,05/24/2012
THLMA,23.500005555555557,-62.793099999999995,OFFSHORE ATLANTIC,ZNY,RP,07/11/1991
THMAS,39.668813888888884,-74.57117777777778,NEW JERSEY,ZNY,RNAV,09/06/2013
TICKL,40.56807222222223,-74.05213611111111,NEW YORK,ZNY,RP,COL*VOR/DME*028.74
TIFZY,42.59955277777778,-76.61890277777778,NEW YORK,ZNY,RNAV,12/30/2009
TIHWO,40.62092777777778,-73.75620833333333,NEW YORK,ZNY,RNAV,12/13/2016
TIHYI,40.22013888888889,-77.07482777777777,PENNSYLVANIA,ZNY,RNAV,05/20/2009
TIKLE,40.85082777777778,-75.63825833333334,PENNSYLVANIA,ZNY,RNAV,05/13/2013
TILED,37.26609444444444,-68.97326666666667,OFFSHORE ATLANTIC,ZNY,RNAV,04/01/2008
