name,latitude,longitude,state,artcc,type,updated
TAGNE,38.42251944444444,-121.58478333333333,CALIFORNIA,ZOA,RNAV,07/03/2002
TAHOE,39.516238888888886,-120.14575,CALIFORNIA,ZOA,RNAV,11/30/2015
TAILS,37.27286111111111,-122.52036944444444,CALIFORNIA,ZOA,RP,PYE*VOR/DME*144.00/51.11
TAKIE,11.271111111111113,-154.41166666666666,OFFSHORE PACIFIC,ZOA,RNAV,02/11/2008
TAKLE,39.69699444444444,-119.76871944444444,NEVADA,ZOA,RP,FMG*VORTAC*316.30
TAKUY,38.74838888888889,-122.9723,CALIFORNIA,ZOA,RNAV,05/29/2003
TALUM,39.41359722222222,-121.87967222222221,CALIFORNIA,ZOA,RP,RBL*VORTAC*140.00/44.28
TAMMM,37.988175,-122.14791111111111,CALIFORNIA,ZOA,RNAV,09/25/2014
TANEE,39.22103611111111,-121.06261111111111,CALIFORNIA,ZOA,RNAV,02/13/2007
TANKK,38.42029722222222,-121.75854166666667,CALIFORNIA,ZOA,MR,SUU*TACAN*030.00
TAPNE,39.18798888888889,-122.90208611111112,CALIFORNIA,ZOA,RNAV,07/05/2009
TAPOC,36.98705833333334,-122.84489444444444,OFFSHORE PACIFIC,ZOA,RNAV,11/20/2012
TARDE,18.10888888888889,-155.71166666666664,OFFSHORE PACIFIC,ZOA,RNAV,02/11/2008
TARPP,4.425833333333333,-153.16777777777776,OFFSHORE PACIFIC,ZOA,RNAV,02/11/2008
TARVR,38.815419444444444,-119.77090833333334,CALIFORNIA,ZOA,RP,SWR*VOR/DME*117.00/31.98
TATOO,38.32833333333333,-117.28055555555555,NEVADA,ZOA,RNAV,03/02/2015
TAYTO,40.60744444444445,-122.44809166666667,CALIFORNIA,ZOA,RP,RBL*VORTAC*324.40/32.00
TAYUS,39.77648333333333,-120.04683333333332,CALIFORNIA,ZOA,RNAV,11/19/2004
TEALL,38.177252777777774,-122.05185277777778,CALIFORNIA,ZOA,MR,CCR*VOR/DME*340.73/7.94
TEBIJ,37.35465,-121.83590833333332,CALIFORNIA,ZOA,RNAV,06/14/2010
TEBOY,39.815755555555555,-119.7659861111111,NEVADA,ZOA,RNAV,08/08/2008
TECKY,37.06433055555555,-121.48901388888889,CALIFORNIA,ZOA,RNAV,11/24/2014
TEDBY,38.26643888888889,-120.75158611111111,CALIFORNIA,ZOA,WP,11/02/1998
TEEDE,17.423055555555557,-146.51805555555558,OFFSHORE PACIFIC,ZOA,WP,05/14/1997
TEGOD,21.0,-145.19666666666666,OFFSHORE PACIFIC,ZOA,RNAV,06/27/2007
TEGUA,7.119691666666666,-158.07086666666666,,ZOA,RNAV,12/30/2015
TENCO,38.89111388888889,-121.38741666666667,CALIFORNIA,ZOA,RP,MYV*VOR/DME*129.02
TENIE,37.702105555555555,-122.143775,CALIFORNIA,ZOA,RNAV,08/17/2010
TENOR,2.4166666666666665,-151.95,OFFSHORE PACIFIC,ZOA,RNAV,02/11/2008
TEPME,37.5216,-118.63992222222222,CALIFORNIA,ZOA,RNAV,12/23/2014
