name,latitude,longitude,state,artcc,type,updated
TAADD,41.228972222222225,-84.71491666666667,OHIO,ZOB,RNAV,01/12/2007
TABBU,40.63752222222222,-79.17883333333334,PENNSYLVANIA,ZOB,RNAV,07/26/2016
TABEY,41.572225,-81.56860277777777,OHIO,ZOB,RP,CXR*VOR/DME*285.42/18.56
TABUY,42.17218611111111,-83.62317777777777,MICHIGAN,ZOB,RP,SVM*VORTAC*188.26/14.24
TACHE,40.627097222222226,-79.71357777777779,PENNSYLVANIA,ZOB,RNAV,05/05/2016
TAHTU,40.52076111111111,-81.18977777777778,OHIO,ZOB,RNAV,08/29/2012
TALKN,40.10124722222223,-84.30920277777777,OHIO,ZOB,RNAV,03/29/2018
TALLS,40.85075555555556,-79.4325388888889,PENNSYLVANIA,ZOB,RP,CIP*VOR/DME*182.26/17.76
TAMDE,41.51668333333333,-82.1633388888889,OHIO,ZOB,RNAV,03/29/2018
TAPAN,40.24720833333333,-81.01111666666667,OHIO,ZOB,RP,CTW*VOR/DME*093.96
TAPIO,41.93975,-84.0018861111111,MICHIGAN,ZOB,RNAV,03/24/2011
TAPPS,41.14219444444444,-80.03857777777777,PENNSYLVANIA,ZOB,RNAV,05/14/2013
TARAH,42.469908333333336,-83.18606666666668,MICHIGAN,ZOB,RP,JKI*LD*035.69/16.50
TATES,40.126536111111115,-78.3929138888889,PENNSYLVANIA,ZOB,RP,THS*VORTAC*306.78/23.44
TAYUL,42.428377777777776,-83.23156111111112,MICHIGAN,ZOB,RP,BZB*LD*033.19/15.35
TAZCE,41.39530277777778,-85.027325,INDIANA,ZOB,RP,FWA*VORTAC*022.21/26.00
TBRRD,42.23057777777778,-83.18495277777778,MICHIGAN,ZOB,RNAV,04/18/2018
TEDDS,39.63854444444444,-80.27613333333333,WEST VIRGINIA,ZOB,RP,MGW*VORTAC*289.41/19.90
TEESY,41.421105555555556,-80.11181944444444,PENNSYLVANIA,ZOB,RP,EWC*VOR/DME*015.18/36.02
TELRY,40.18660277777777,-79.68063055555557,PENNSYLVANIA,ZOB,RNAV,11/01/2017
TENIS,41.47813055555556,-78.15292222222223,PENNSYLVANIA,ZOB,RP,SLT*VORTAC*263.92/8.50
TENUE,41.18709444444444,-80.05508888888889,PENNSYLVANIA,ZOB,RNAV,01/18/2018
TERBL,40.585,-80.27838333333334,PENNSYLVANIA,ZOB,RNAV,10/28/2009
TESDE,40.61046388888889,-78.76377222222222,PENNSYLVANIA,ZOB,RNAV,07/24/2012
TETLE,41.56339722222222,-83.87849444444444,OHIO,ZOB,RP,TOL*TACAN*248.00/4.00
THATZ,41.29303611111111,-82.64695,OHIO,ZOB,RNAV,03/29/2018
THEEE,43.16399444444444,-83.81283888888889,MICHIGAN,ZOB,RNAV,03/29/2018
THINK,42.22873333333334,-77.28033333333333,NEW YORK,ZOB,RP,ULW*VOR/DME*317.38/13.97
THRTN,41.55531111111111,-81.61991111111111,OHIO,ZOB,RP,HPI*LD*057.96/14.85
TIANT,41.314877777777774,-81.821775,OHIO,ZOB,RNAV,04/18/2018
TIEZZ,41.97329166666667,-83.61817222222221,MICHIGAN,ZOB,RNAV,04/17/2018
TIGRZ,42.46373888888889,-83.15335555555556,MICHIGAN,ZOB,RP,EJR*LD*035.71/18.51
TIKKU,39.92004722222222,-80.00576944444444,PENNSYLVANIA,ZOB,RNAV,04/15/2008
TILTD,42.78117777777778,-84.66925277777779,MICHIGAN,ZOB,RNAV,03/28/2018
TIPEJ,41.142269444444445,-83.11613888888888,OHIO,ZOB,RNAV,04/17/2012
TMBIT,42.03883888888889,-83.22579444444445,MICHIGAN,ZOB,RNAV,03/29/2018
TOCAR,40.30741666666666,-80.10277222222221,PENNSYLVANIA,ZOB,RNAV,07/19/2017
TOFFY,42.57792777777778,-83.01315,MICHIGAN,ZOB,RNAV,04/17/2018
TOGDE,39.954905555555555,-82.96889166666666,OHIO,ZOB,RNAV,09/28/2014
TOGJU,40.336875,-78.30509444444444,PENNSYLVANIA,ZOB,RNAV,08/23/2012
TOLPE,43.63186666666667,-83.94136666666667,MICHIGAN,ZOB,RP,TQR*LD*052.63/9.17
TOMMS,41.27433055555556,-83.14788611111112,OHIO,ZOB,RNAV,05/12/2010
TOMTA,41.599113888888894,-81.18177222222222,OHIO,ZOB,RP,CXR*VOR/DME*355.38/5.00
TONSR,40.87478888888889,-82.00976388888888,OHIO,ZOB,RNAV,09/23/2009
TOOOK,40.22372222222222,-83.42025277777778,OHIO,ZOB,RP,APE*VORTAC*282.77
TOPAE,42.81047777777778,-82.87427777777778,MICHIGAN,ZOB,MR,MTC*TACAN*357.00/12.00
TOPHR,41.55285833333333,-83.92074444444445,OHIO,ZOB,RP,TOL*TACAN*/5.99
