name,latitude,longitude,state,artcc,type,updated
TABSE,44.28290833333333,-121.53165,OREGON,ZSE,RP,DSD*VORTAC*262.50/10.00
TACUP,46.061905555555555,-118.69104166666666,WASHINGTON,ZSE,RP,ALW*VOR/DME*244.98/16.71
TAGOR,47.43162222222222,-121.91686666666668,WASHINGTON,ZSE,RP,SEA*VORTAC*071.66/16.00
TAHNE,41.888752777777775,-121.59049166666667,CALIFORNIA,ZSE,RP,LMT*VORTAC*/17.00
TALCS,48.724647222222224,-122.91050833333334,WASHINGTON,ZSE,RNAV,12/10/2015
TALEM,42.14713888888889,-122.87819444444443,OREGON,ZSE,RP,OED*VORTAC*156.55/20.00
TAMPO,46.57455277777778,-120.86537222222222,WASHINGTON,ZSE,RP,ELN*VOR/DME*191.00
TAOMA,46.92067222222222,-122.10614166666666,WASHINGTON,ZSE,RP,SEA*VORTAC*145.84/32.00
TAPUE,41.951238888888895,-124.32913055555555,CALIFORNIA,ZSE,RP,CEC*VORTAC*325.00/11.00
TAUNT,47.14123611111111,-119.4118888888889,WASHINGTON,ZSE,RP,MWH*VOR/DME*204.99/5.71
TAYLN,45.696461111111105,-122.88331944444444,OREGON,ZSE,MR,BTG*VORTAC*235.00
TAYON,46.214061111111114,-119.19535,WASHINGTON,ZSE,RNAV,09/27/2010
TAYUT,46.364019444444445,-117.26320833333334,WASHINGTON,ZSE,RP,MQG*VOR/DME*246.46/16.39
TAZZE,45.20725,-122.77711388888889,OREGON,ZSE,RNAV,02/24/2017
TEBNE,47.3954,-122.30927222222222,WASHINGTON,ZSE,RP,SEA*VORTAC*160.66/2.40
TECEE,47.40257222222222,-122.36516666666667,WASHINGTON,ZSE,RP,SEA*VORTAC*210.00/3.00
TECUV,48.852786111111115,-122.96755277777778,WASHINGTON,ZSE,RP,YVR*VOR/DME*134.90/15.27
TEFAN,41.393880555555555,-120.49291666666667,CALIFORNIA,ZSE,RNAV,11/16/2017
TEFXY,47.61775277777778,-117.70478888888888,WASHINGTON,ZSE,RNAV,02/12/2014
TEMPL,47.72989444444445,-119.4843861111111,WASHINGTON,ZSE,RP,GEG*VORTAC*257.17/76.00
TERJE,44.40676111111111,-118.99131666666666,OREGON,ZSE,RNAV,12/02/2008
