name,latitude,longitude,state,artcc,type,updated
TANZY,17.66877777777778,-64.40246944444445,VIRGIN ISLANDS,ZSU,RP,COY*VOR/DME*112.89/17.53
TARGT,18.46765,-67.22689166666667,PUERTO RICO,ZSU,RP,BQN*VORTAC*265.00/7.00
TAYOG,17.90433611111111,-66.85416111111111,PUERTO RICO,ZSU,RNAV,06/27/2017
TBURN,18.574827777777777,-66.86448888888889,PUERTO RICO,ZSU,RNAV,05/06/2013
TEJOS,17.96568611111111,-66.52811666666666,PUERTO RICO,ZSU,RNAV,01/21/2015
THANK,21.460372222222222,-66.05347777777777,PUERTO RICO,ZSU,RNAV,DDP*NDB*017.41
TIKAL,17.473805555555554,-62.81800277777778,PUERTO RICO,ZSU,RP,PJM*VOR/DME*164.90/37.88
TILDI,20.16361111111111,-67.62944444444443,PUERTO RICO,ZSU,RNAV,04/08/2008
TNNER,18.433875,-66.19948333333333,PUERTO RICO,ZSU,RP,SJU*VORTAC*277.49/12.00
TOREY,17.422841666666667,-66.49274722222222,OFFSHORE ATLANTIC,ZSU,RNAV,07/09/2009
TOURO,18.48056111111111,-65.46471666666667,PUERTO RICO,ZSU,RP,SJU*VORTAC*097.00/30.00
TROCO,18.18722222222222,-65.75777777777778,PUERTO RICO,ZSU,RNAV,07/31/2010
TUKRE,18.480655555555554,-65.91143055555555,PUERTO RICO,ZSU,RNAV,06/06/2002
TUUNA,17.980877777777778,-65.88613055555557,PUERTO RICO,ZSU,RP,BQN*VORTAC*123.69
ACONY,18.927366666666668,-66.47744722222222,OFFSHORE ATLANTIC,ZSU,RNAV,07/09/2009
ADECY,17.938333333333333,-66.53079722222222,PUERTO RICO,ZSU,RNAV,01/21/2015
ADVLL,18.11811388888889,-65.82841388888889,PUERTO RICO,ZSU,MW,11/01/2017
AGADA,18.730802777777775,-64.34054722222221,VIRGIN ISLANDS,ZSU,RP,COY*VOR/DME*029.00
ALASK,16.83692222222222,-66.537525,PUERTO RICO,ZSU,RNAV,01/20/2015
ANADA,15.0,-64.14624722222223,OFFSHORE ATLANTIC,ZSU,RP,DDP*NDB*158.47
ANNER,16.23669166666667,-64.94299444444445,OFFSHORE ATLANTIC,ZSU,RP,11/20/1998
ANTEN,18.41357222222222,-66.08895,PUERTO RICO,ZSU,RP,SJU*VORTAC*262.00/6.00
ANTEX,18.479249999999997,-68.0,PUERTO RICO,ZSU,RP,MAZ*VOR/DME*295.50/50.24
APPOL,18.081233333333333,-67.5613,PUERTO RICO,ZSU,MR,BQN*VORTAC*236.00/36.00
AQABA,18.595877777777776,-67.37469166666666,PUERTO RICO,ZSU,RP,BQN*VORTAC*301.11/16.27
AQHAN,17.681516666666667,-64.9985138888889,VIRGIN ISLANDS,ZSU,RNAV,03/06/2006
ARECA,18.026947222222223,-67.23362222222222,PUERTO RICO,ZSU,RNAV,12/30/2014
ARETE,18.543744444444446,-65.82586944444444,PUERTO RICO,ZSU,RP,SJU*VORTAC*069.00/11.00
ARMUR,15.543333333333333,-66.635,PUERTO RICO,ZSU,RP,10/22/2009
MACHE,17.666969444444447,-65.94445277777778,PUERTO RICO,ZSU,MR,NRR*TACAN*218.00/38.00
MAELO,18.705844444444445,-65.83094722222222,PUERTO RICO,ZSU,RNAV,11/21/2008
MALCU,18.43516388888889,-66.27741944444445,PUERTO RICO,ZSU,RNAV,02/09/2018
MALIE,18.492383333333333,-65.2784861111111,VIRGIN ISLANDS,ZSU,RP,SJU*VORTAC*097.00/40.64
MAVIE,18.052500000000002,-65.55138888888888,PUERTO RICO,ZSU,RNAV,07/31/2010
MAWLY,20.15684444444444,-65.990225,OFFSHORE ATLANTIC,ZSU,RNAV,10/22/2009
MELLA,18.2,-68.0,PUERTO RICO,ZSU,RNAV,07/31/2010
MIGGL,17.843241666666664,-66.53296666666667,PUERTO RICO,ZSU,RNAV,01/21/2015
MIGHT,18.16498611111111,-66.31833888888889,PUERTO RICO,ZSU,RP,BQN*VORTAC*123.69/49.29
MILOH,18.31106388888889,-65.54713333333333,PUERTO RICO,ZSU,MW,11/01/2017
MILOK,15.293333333333333,-65.88,OFFSHORE ATLANTIC,ZSU,RP,11/23/1998
MIXEE,18.09149722222222,-65.68495,PUERTO RICO,ZSU,RNAV,04/26/2002
MODUX,16.95888888888889,-63.0,VIRGIN ISLANDS,ZSU,RP,COY*VOR/DME*125.14/108.05
MORRS,22.0,-62.666666666666664,PUERTO RICO,ZSU,RP,06/01/1987
MUNDS,18.438744444444445,-66.01486388888888,PUERTO RICO,ZSU,WP,11/02/1998
MUNGE,18.132094444444444,-65.50565,PUERTO RICO,ZSU,RNAV,04/26/2002
MUNOZ,19.016147222222223,-67.797825,OFFSHORE ATLANTIC,ZSU,RNAV,04/07/2014
MYLET,18.503811111111112,-66.28973888888889,PUERTO RICO,ZSU,RNAV,11/21/2008
LACEC,17.808902777777778,-64.57080277777777,VIRGIN ISLANDS,ZSU,RNAV,11/04/2008
LAMKN,18.0,-61.96599722222223,OFFSHORE ATLANTIC,ZSU,RNAV,04/10/2008
LARPP,18.205269444444443,-64.10880833333333,VIRGIN ISLANDS,ZSU,RP,COY*VOR/DME*060.18
