name,latitude,longitude,state,artcc,type,updated
TAARZ,36.7029,-80.60373888888888,VIRGINIA,ZTL,RNAV,11/10/2016
TABUC,36.01802222222222,-83.74384166666667,TENNESSEE,ZTL,RP,VXV*VORTAC*/10.00
TACKL,33.74040277777778,-83.50860833333333,GEORGIA,ZTL,RNAV,01/31/2014
TACOC,35.14256944444445,-86.61908055555556,TENNESSEE,ZME,RNAV,05/06/2016
TACUL,33.53803611111111,-85.11983055555555,GEORGIA,ZTL,RNAV,01/26/2005
TADUW,33.732075,-86.16475000000001,ALABAMA,ZTL,RNAV,07/16/2007
TAFOC,35.106477777777776,-84.02280555555555,NORTH CAROLINA,ZTL,RNAV,07/10/2017
TAGCU,34.76391944444445,-80.94604444444445,SOUTH CAROLINA,ZTL,RNAV,02/20/2014
TAGME,35.32955555555556,-83.22065,NORTH CAROLINA,ZTL,RNAV,02/07/2003
TAGYI,35.427613888888885,-84.61056388888888,TENNESSEE,ZTL,RNAV,07/10/2017
TAILL,32.37666388888889,-85.34323055555555,ALABAMA,ZTL,RNAV,07/11/2011
TAJLE,35.73138055555556,-85.09680833333333,TENNESSEE,ZTL,RNAV,01/09/2001
TAKEN,36.33688333333333,-82.47033888888889,TENNESSEE,ZTL,RP,GZG*VOR/DME*215.00
TAKTE,34.16061111111111,-81.77510555555556,SOUTH CAROLINA,ZTL,RNAV,05/27/2009
TALBO,32.63027777777778,-84.65803611111112,GEORGIA,ZTL,RP,CSG*VORTAC*086.08/18.24
TALLA,35.690886111111105,-83.97545277777778,TENNESSEE,ZTL,RP,HCH*VOR/DME*098.00
TALLE,34.63001388888889,-83.68017777777779,GEORGIA,ZTL,RP,ODF*VORTAC*258.34/19.34
TALRR,36.26385833333333,-80.42063333333334,NORTH CAROLINA,ZTL,RNAV,04/17/2010
TALYU,34.1304,-83.09386944444444,GEORGIA,ZTL,RNAV,10/31/2013
TAMPI,36.24616666666667,-83.39100277777779,TENNESSEE,ZTL,RP,SOT*VORTAC*333.00
TANCE,35.091144444444446,-81.60475555555556,SOUTH CAROLINA,ZTL,RNAV,02/03/2016
TANNE,34.76074444444444,-86.98736944444444,ALABAMA,ZME,RP,DCU*VOR/DME*341.65
TARAA,34.85646111111111,-83.463375,GEORGIA,ZTL,RNAV,07/26/2016
TASYU,33.11139722222222,-86.865,ALABAMA,ZTL,RP,OKW*VORTAC*111.49
TATME,32.71065277777778,-85.95249722222222,ALABAMA,ZTL,RNAV,10/22/2013
TATRS,33.34359722222222,-83.86023888888889,GEORGIA,ZTL,RNAV,01/31/2014
TATYU,31.979438888888886,-82.865625,GEORGIA,ZJX,RNAV,06/16/2008
TAVBE,35.66243055555555,-82.04704722222222,NORTH CAROLINA,ZTL,RNAV,11/07/2014
TAWBA,35.78666111111111,-81.30542777777778,NORTH CAROLINA,ZTL,RNAV,02/21/2014
TAYSO,34.57499722222222,-81.31546944444445,SOUTH CAROLINA,ZTL,RP,GRD*VORTAC*065.81/45.92
TAZMA,31.698977777777777,-86.465225,ALABAMA,ZTL,RNAV,08/24/2004
TAZZA,35.814366666666665,-84.64413055555556,TENNESSEE,ZTL,RNAV,06/24/2015
TDAAY,34.56294166666667,-82.44804166666667,SOUTH CAROLINA,ZTL,RNAV,11/10/2016
TDUNN,35.42550833333333,-82.29040555555555,NORTH CAROLINA,ZTL,RNAV,08/02/2016
TEBOC,32.29013888888889,-86.27357777777777,ALABAMA,ZTL,RNAV,08/14/2013
TECUG,35.281527777777775,-86.06238055555555,TENNESSEE,ZME,RNAV,06/16/2008
TECUS,32.50329444444444,-83.76571111111112,GEORGIA,ZTL,RP,VNA*VORTAC*320.90/22.08
TEDGE,34.75067222222222,-83.09925555555554,SOUTH CAROLINA,ZTL,RNAV,07/26/2016
