name,latitude,longitude,state,artcc,type,updated
TIMAE,13.688955555555555,-145.1081722222222,GUAM,ZUA,MR,UNZ*VORTAC*055.37/26.00
TOCOG,13.435833333333333,-144.70495,GUAM,ZUA,MR,UNZ*VORTAC*234.00/2.00
ACUYU,13.592225000000001,-144.955075,GUAM,ZUA,MR,UAM*TACAN*/0.50
ADEDE,13.441391666666666,-144.70200277777778,GUAM,ZUA,RP,UNZ*VORTAC*244.75/1.99
ADTIN,13.457488888888888,-144.68985833333335,GUAM,ZUA,MR,UAM*TACAN*240.00/17.00
ARKEE,13.8154,-144.7673027777778,GUAM,ZUA,MR,UAM*TACAN*320.00/17.00
ASADE,12.793166666666666,-144.8400388888889,GUAM,ZUA,RP,UNZ*VORTAC*169.00/40.00
MDBUG,13.733191666666666,-145.160425,GUAM,ZUA,MR,UNZ*VORTAC*054.25/30.00
MEMKE,13.389941666666667,-144.59426944444445,GUAM,ZUA,RP,AWD*LD*242.96/14.12
MOBKE,13.452038888888888,-144.7252611111111,GUAM,ZUA,RP,GUM*LD*242.95/5.78
MOGOE,13.526175,-144.87974166666666,GUAM,ZUA,RP,AJA*NDB*060.51
MOMRE,13.464147222222222,-144.75327777777778,GUAM,ZUA,RP,UNZ*VORTAC*061.83/1.30
YASSU,13.470258333333334,-144.5802111111111,GUAM,ZUA,RP,UNZ*VORTAC*274.00/9.00
UYHEW,15.049622222222222,-145.66021666666668,OFFSHORE PACIFIC,ZUA,RP,SN*NDB*216.23
KATNE,13.576383333333332,-144.90657777777778,GUAM,ZUA,MR,UAM*TACAN*/2.50
RASPE,13.467522222222222,-144.5572361111111,GUAM,ZUA,RNAV,03/20/2003
GUMGE,13.085411111111112,-145.19780833333334,GUAM,ZUA,RP,UNZ*VORTAC*127.00/35.00
FABHA,14.043780555555555,-145.5627777777778,GUAM,ZUA,MR,UAM*TACAN*051.00/45.00
FAPAM,13.423894444444445,-145.0680111111111,GUAM,ZUA,RNAV,03/20/2003
FAXEL,13.571569444444444,-144.90880833333333,GUAM,ZUA,MR,UAM*TACAN*240.00/2.50
FAYZR,13.580705555555555,-144.914525,GUAM,ZUA,MR,UNZ*VORTAC*052.55/13.00
FIGOR,13.305750000000002,-144.75736944444444,GUAM,ZUA,RP,UNZ*VORTAC*169.00/9.00
FIPMU,15.006180555555556,-145.625,OFFSHORE PACIFIC,ZUA,RP,SN*NDB*216.24
FISON,13.439588888888888,-144.70271666666665,GUAM,ZUA,RNAV,03/20/2003
FOLAP,13.300197222222224,-144.44926944444444,GUAM,ZUA,RP,UNZ*VORTAC*239.00/19.00
FOMOD,13.5473,-144.83553333333333,GUAM,ZUA,MR,UAM*TACAN*246.00/7.00
SADVE,15.036344444444444,-145.81731666666667,N MARIANA ISLANDS,ZUA,RNAV,10/20/2003
SEQKO,15.127330555555556,-145.75034444444444,GUAM,ZUA,RP,SN*NDB*065.76
SIDPE,13.496577777777777,-145.02946944444446,GUAM,ZUA,RNAV,08/03/2006
JALOB,13.529416666666668,-144.846775,GUAM,ZUA,MR,UNZ*VORTAC*054.00/8.00
JIPRO,13.596255555555556,-144.9534138888889,GUAM,ZUA,MR,UAM*TACAN*051.00/0.50
JIRGI,14.189063888888889,-145.05498611111113,N MARIANA ISLANDS,ZUA,RNAV,12/05/2011
JITNO,13.511683333333334,-144.59085555555558,GUAM,ZUA,RP,UNZ*VORTAC*290.30/9.00
JOMAX,13.523894444444446,-144.8870111111111,GUAM,ZUA,RNAV,08/03/2006
JORUN,13.545663888888889,-144.83646666666667,GUAM,ZUA,MR,UAM*TACAN*245.09/6.99
JUVNI,13.524169444444444,-144.88076944444444,GUAM,ZUA,RP,UNZ*VORTAC*062.23/9.57
IKOVY,13.405908333333334,-144.62460000000002,GUAM,ZUA,RP,GUM*LD*SW CRS/12.12
INIME,13.596716666666667,-144.9530333333333,GUAM,ZUA,MR,UAM*TACAN*/0.50
ITUME,13.57553888888889,-144.90691666666666,GUAM,ZUA,MR,UAM*TACAN*246.00/2.50
ELOXE,14.981975,-145.52783333333335,N MARIANA ISLANDS,ZUA,RNAV,08/06/2009
ENWHY,13.592108333333334,-144.94389444444445,GUAM,ZUA,MR,UNZ*VORTAC*054.25/14.80
EVEBE,13.641580555555555,-145.01493055555557,GUAM,ZUA,MR,UAM*TACAN*051.00/5.00
PANNS,13.705094444444443,-145.21325555555555,GUAM,ZUA,MR,UAM*TACAN*064.38/17.00
PAVYI,13.534444444444444,-144.90551666666667,GUAM,ZUA,RNAV,05/19/2015
PIRTY,15.136477777777777,-145.7734,GUAM,ZUA,RP,SN*NDB*065.76
PULEE,13.523625000000001,-144.05273055555557,GUAM,ZUA,RP,UNZ*VORTAC*274.00/40.00
DALPE,13.389908333333333,-144.59428611111113,GUAM,ZUA,RNAV,08/03/2006
DAMQY,14.962538888888888,-145.42483055555556,N MARIANA ISLANDS,ZUA,RNAV,08/06/2009
DUCFI,15.016069444444444,-145.70912777777778,N MARIANA ISLANDS,ZUA,RNAV,08/06/2009
DWAFF,13.724966666666667,-145.16590833333333,GUAM,ZUA,MR,UNZ*VORTAC*055.37/30.00
HAAMR,13.71641111111111,-145.10989722222223,GUAM,ZUA,MR,UNZ*VORTAC*052.55/27.00
HAGIX,13.727319444444445,-144.923375,GUAM,ZUA,RNAV,03/20/2003
HAMAL,13.567544444444444,-144.7025972222222,GUAM,ZUA,RP,UNZ*VORTAC*343.00/7.00
HARLO,13.44095,-144.7010388888889,GUAM,ZUA,RP,GUM*LD*242.95/7.34
HASRA,13.624952777777779,-145.01758611111111,GUAM,ZUA,MR,UAM*TACAN*062.09/4.61
HESNA,13.404597222222222,-144.4124111111111,GUAM,ZUA,RP,UNZ*VORTAC*259.00/19.00
HIPRI,13.632211111111111,-145.01726944444445,GUAM,ZUA,MR,UNZ*VORTAC*055.37/19.70
HOGOS,15.168113888888888,-145.85316666666665,GUAM,ZUA,RP,SN*NDB*065.76
HUKES,13.45234722222222,-144.7305861111111,GUAM,ZUA,RNAV,03/20/2003
CADUK,13.724119444444444,-144.92091944444442,GUAM,ZUA,RNAV,08/03/2006
CCOOK,13.575241666666667,-144.91630833333335,GUAM,ZUA,MR,UNZ*VORTAC*054.00/12.90
CEGMU,13.439605555555556,-144.70271666666665,GUAM,ZUA,RP,AWD*LD*242.96/7.12
CENOR,15.061119444444445,-145.40511111111113,N MARIANA ISLANDS,ZUA,RNAV,08/06/2009
CEPOS,14.168827777777777,-145.3022277777778,N MARIANA ISLANDS,ZUA,RNAV,12/13/2011
CETAS,13.589955555555557,-144.6657888888889,GUAM,ZUA,RP,UNZ*VORTAC*332.00/9.00
CIBOL,13.572430555555556,-144.99330833333332,GUAM,ZUA,RNAV,08/03/2006
COLMA,13.539330555555555,-144.8468777777778,GUAM,ZUA,MR,UAM*TACAN*240.00/6.60
COVHI,14.880386111111111,-145.44125,N MARIANA ISLANDS,ZUA,RNAV,08/06/2009
CREET,13.637611111111111,-145.01366944444445,GUAM,ZUA,MR,UNZ*VORTAC*054.25/19.70
CUDID,13.443475,-144.7102972222222,GUAM,ZUA,RP,UNZ*VORTAC*241.83/1.50
VEAGA,13.43515,-144.70543333333333,GUAM,ZUA,MR,UNZ*VORTAC*232.58/2.00
