name,latitude,longitude,state,artcc,type,updated
ALONI,44.64833333333333,-75.65277777777779,,ZUL,RNAV,09/23/2014
ANTOV,45.37638888888889,-71.0375,,ZUL,RNAV,09/23/2014
ATENE,46.23444444444444,-70.2725,,ZUL,RP,YQB*VORTAC*134.00
MEKSO,45.78918908333333,-70.42720630555556,,ZUL,RNAV,11/09/2016
MENKO,44.776666666666664,-78.80333333333333,,ZUL,RNAV,09/23/2014
MIGLO,44.635834,-76.21052716666667,,ZUL,RNAV,11/09/2016
MIILS,46.87361111111111,-67.04833333333333,,ZUL,RNAV,10/06/2016
LEPOS,43.58361111111111,-81.64666666666668,,ZUL,RNAV,09/23/2014
LIAND,45.06766944444445,-71.92416666666666,,ZUL,RP,YSC*VOR/DME*218.00/16.00
ULUTO,46.30444444444444,-84.09472222222222,,ZUL,RNAV,09/23/2014
KATNO,43.17611111111111,-82.32555555555555,,ZUL,RNAV,09/23/2014
KELVI,45.04,-74.21472222222222,,ZUL,RP,YMX*VOR/DME*187.00
RABIK,45.29888888888889,-72.61027777777777,,ZUL,RNAV,09/23/2014
REEDO,44.70333333333333,-75.98166666666667,,ZUL,RP,YOW*VORTAC*198.68/44.45
SANIN,44.07805555555556,-77.43194444444445,,ZUL,RNAV,09/23/2014
SIKBO,43.65361111111111,-79.34916666666666,,ZUL,RNAV,11/07/2014
EBDOT,45.09034091666667,-73.5670146111111,,ZUL,RNAV,04/08/2013
DERLO,43.06638888888889,-81.09527777777777,,ZUL,RNAV,09/23/2014
DUVOK,44.92703611111111,-65.28657222222222,,ZUL,RNAV,09/23/2014
HABBS,45.20527777777778,-74.41722222222222,,ZUL,RNAV,02/03/2015
HAVOK,43.020833333333336,-81.60333333333332,,ZUL,RNAV,09/23/2014
HUMUS,45.07490277777778,-74.075,,ZUL,RP,YJN*VOR/DME*267.52
VIBRU,44.34838611111111,-76.02113888888888,,ZUL,RNAV,08/29/2017
NALRU,46.59443130555556,-71.30134883333334,,ZUL,RP,11/12/2016
BIMRO,43.028055555555554,-80.31666666666666,,ZUL,RNAV,09/23/2014
BOSEP,43.10444444444445,-82.00833333333334,,ZUL,RNAV,09/23/2014
