name,latitude,longitude,state,artcc,type,updated
TAMRU,48.95583333333334,-130.80333333333334,,ZVR,RP,06/17/2014
AGPAL,54.52647119444444,-130.79832577777776,,ZVR,RP,11/12/2016
ANTLR,49.073694638888895,-122.23432122222222,,ZVR,RP,11/09/2016
ARRUE,49.073055555555555,-124.12972222222221,,ZVR,RP,11/12/2016
MAJUW,42.501463888888885,-83.62307777777777,MICHIGAN,ZOB,CN,02/21/2001
METPA,53.00615555555556,-134.83790000000002,,ZVR,RP,10/06/2016
KANOO,51.471111111111114,-122.27027777777778,,ZVR,RP,11/12/2016
ROYST,49.59138888888889,-125.12638888888888,,ZVR,RP,11/12/2016
FINBO,49.275555555555556,-116.02555555555556,,ZVR,RP,YXC*VOR/DME*152.00/17.00
FOCHE,49.06404722222222,-124.79648055555555,,ZVR,RNAV,01/26/2017
FOLDY,49.05158055555555,-120.7118888888889,,ZVR,RP,YVR*VOR/DME*069.00
SEATN,50.70333333333333,-122.36777777777777,,ZVR,RP,10/06/2016
SILVR,49.34166666666667,-116.78444444444445,,ZVR,RP,YXC*VOR/DME*225.00/30.00
SIMLU,50.00527777777778,-131.70999999999998,,ZVR,RP,06/17/2014
IDNEY,48.64222222222222,-123.40444444444445,,ZVR,RP,10/06/2016
INHAM,49.05216083333333,-125.45507108333334,,ZVR,RP,YVR*VOR/DME*253.00/91.00
PETPA,51.004980555555555,-132.68652777777777,,ZVR,RP,10/06/2016
DISCO,48.40028888888889,-123.1782888888889,,ZVR,RP,08/31/2012
DUGGS,53.03472222222222,-129.50333333333333,,ZVR,RP,11/09/2016
HALAM,54.50352777777778,-133.0290277777778,,ZVR,RP,12/18/2015
HANRY,54.60638888888889,-131.09333333333333,,ZVR,RP,07/17/1991
CAMZO,48.78295,-123.53574166666667,,ZVR,RP,05/17/2017
COGLE,49.07666666666667,-122.565,,ZVR,RP,10/06/2016
CONDI,48.57222222222222,-123.3387861111111,,ZVR,RP,10/05/2016
VIDKU,48.22777777777778,-130.2,,ZVR,RP,06/17/2014
NAKBI,52.00539722222222,-133.73267222222222,,ZVR,RP,10/06/2016
BANNE,54.09924166666667,-130.63778888888888,,ZVR,RP,10/05/2016
BOKMA,54.51958333333333,-131.64895277777777,,ZVR,RP,ANN*VOR/DME*157.00/32.60
BUICK,48.81010277777777,-123.13491666666667,,ZVR,RP,YVR*VOR/DME*161.00
