name,latitude,longitude,state,artcc,type,updated
TAGUM,43.481680555555556,-82.16288611111112,,ZYZ,RNAV,02/24/2017
TANKO,43.02568888888889,-82.38399444444445,,ZYZ,RNAV,02/24/2017
TULEG,43.731902777777776,-76.71939722222223,,ZYZ,RNAV,11/26/2014
TUMEZ,54.56903611111112,-131.3827777777778,,ZYZ,RP,04/29/1987
AGBUT,44.748,-79.77873611111112,,ZYZ,RNAV,06/13/2017
AGDOX,43.28427119444444,-79.10444852777778,,ZYZ,RNAV,11/09/2016
ALVID,43.90472222222222,-76.60111111111111,,ZYZ,RNAV,09/26/2014
APNEL,45.349805555555555,-82.22841666666667,,ZYZ,RP,YVV*VOR/DME*315.63/60.00
AVALE,46.73402222222222,-85.13332222222222,MICHIGAN,ZYZ,RP,SSM*VOR/DME*304.00/39.00
AXOBU,42.94430722222222,-82.3950875,,ZYZ,RNAV,11/09/2016
LINNG,43.30277777777778,-79.35477777777777,,ZYZ,RP,YYZ*VOR/DME*160.33/24.51
KAPUX,45.08068333333334,-79.74985277777778,,ZYZ,RNAV,07/10/2001
KENLU,44.32138888888889,-79.21472222222222,,ZYZ,RNAV,04/08/2013
KITOK,43.041801916666664,-81.92661355555556,,ZYZ,RP,11/09/2016
RAKAP,43.417542999999995,-82.20164366666667,,ZYZ,RNAV,11/12/2016
RIBIR,46.315527777777774,-84.11874999999999,,ZYZ,RP,SSM*VOR/DME*129.34/10.00
GRIBY,47.755,-86.26,,ZYZ,RP,10/06/2016
FINGL,42.756594444444445,-81.32277777777777,,ZYZ,RNAV,04/17/2018
SRADE,46.65816111111111,-84.94526944444445,MICHIGAN,ZYZ,RP,SSM*VOR/DME*304.00/30.00
EBDUS,44.489666666666665,-77.62533333333333,,ZYZ,WP,11/09/2016
EFVEV,45.97779166666667,-83.4932388888889,MICHIGAN,ZYZ,RNAV,06/05/2010
PEPLA,43.797494444444446,-80.01487777777778,,ZYZ,RNAV,02/24/2017
PIKSA,43.12892222222222,-79.07321388888889,,ZYZ,RNAV,04/25/2017
DASIR,43.322115555555555,-82.24807230555555,,ZYZ,RNAV,11/12/2016
DEDKI,43.69027777777777,-78.71833333333333,,ZYZ,RNAV,10/06/2016
DEMKO,44.91433333333333,-79.76433333333334,,ZYZ,RNAV,07/05/2001
DUTEL,44.66638888888889,-81.29638888888888,,ZYZ,RNAV,04/25/2017
CATGA,46.472094444444444,-84.46709166666668,MICHIGAN,ZYZ,RP,SSM*VOR/DME*303.74/7.27
COALE,60.45527777777778,-135.17416666666665,,ZYZ,RP,10/06/2016
COLTS,42.96378055555556,-79.32085833333333,,ZYZ,RNAV,04/03/2018
CWSKQ,47.03283611111111,-85.19646944444445,MICHIGAN,ZYZ,CN,11/17/2010
VIGLO,45.39666666666667,-82.41972222222223,,ZYZ,RNAV,02/24/2017
VUNPY,46.05715,-83.52962777777778,MICHIGAN,ZYZ,RNAV,09/01/2010
OMRAK,43.27095833333333,-82.26453055555555,,ZYZ,RNAV,02/24/2017
NOVON,43.87668611111111,-76.6066861111111,NEW YORK,ZYZ,RNAV,11/08/2016
WAGGO,46.90132777777777,-85.00716666666666,MICHIGAN,ZYZ,RP,ERY*VOR/DME*033.94
WALAC,45.77861111111111,-82.06055555555555,,ZYZ,RP,SSM*VOR/DME*115.00
BEPUP,46.70023888888889,-82.55619722222222,,ZYZ,RP,SSM*VOR/DME*080.00
